gene_name	gene_id	protein_id	transcript_count	dmr_transcript_count	dmr_count	dmr_A_count	dmr_C_count	dmr_G_count	dmr_U_count	gene_level_ont_C3	gene_level_ont_C4	ont_gene_log2FC_C4vsC3	ont_gene_pval	ont_gene_qval	protein_level_C3	protein_level_C4	protein_log2FC_C4vsC3	protein_pval	protein_qval	median_transcript_len
FN1	ENSG00000115414	P02751	15	9	18	2	1	1	14	13.624628085740472	13.083434744100026	-0.5566639991280059	0.0104224778594168	0.203498880205113	18.35357716034912	17.13802474513009	-1.23131026113853	4.44025497406063e-93	6.28962117075688e-90	7762.0
ITGB1	ENSG00000150093	P05556	22	11	15	3	2	0	10	11.964839000891056	11.94136628124698	-0.0342638079671737	0.8668228763971482	0.9990269081233384	17.081517568956617	17.401542808257272	0.286408285329777	2.32001144805603e-05	0.000255246308052145	3827.0
HDLBP	ENSG00000115677	Q00341	4	3	13	1	3	0	9	9.521158644369347	9.481858299246975	-0.0673290833539422	0.8146737247979035	0.9990269081233384	16.769746024522533	16.45499832677002	-0.303958692510961	3.56312823628044e-20	3.10595147488692e-18	5405.5
TUBB	ENSG00000196230	P07437	8	5	10	1	3	0	6	8.697899054267484	9.194727591952255	0.487898229086451	0.0496127035627381	0.4943314041879522	21.04952319217439	21.100698258240463	0.0645383291137071	0.390339265220447	0.740925385842228	2670.0
SULF1	ENSG00000137573	Q8IWU6	5	4	9	2	2	0	5	9.194587540805372	7.973783729386149	-1.2343192200211406	8.886286221751894e-08	1.5422643420418283e-05	15.90813500713433	15.62143681860362	-0.261676443361643	0.000114495863970949	0.00104298578860173	5551.0
THBS2	ENSG00000186340	P35442	8	4	8	0	2	1	5	9.26076312587241	8.814966030373927	-0.4782486576025486	0.056765580594855	0.523514441333724	15.605258447626104	14.471799940122288	-1.11711065522331	4.651489460624e-23	4.97270552526331e-21	5637.0
PHLDA1	ENSG00000139289	Q8WV24	3	2	8	1	0	0	7	7.277021644915965	7.335621889429111	0.0634450871399946	0.8671781464659412	0.9990269081233384	13.780695969393149	14.493211111652423	0.569701494303041	0.00081345152474938	0.00576848102531914	5913.0
FGF2	ENSG00000138685	P09038	3	2	7	0	0	2	5	8.929714463378211	9.832246970664375	0.9358409114821192	0.0012885776008406	0.0460936995231989	15.352408730963475	16.2785908408598	0.933655164991493	1.02484257970824e-08	2.35091419296635e-07	6652.0
GANAB	ENSG00000089597	Q14697	3	2	7	2	1	1	3	8.296290163423313	8.228927869827583	-0.0923874996313837	0.8159991582981392	0.9990269081233384	18.013283973255632	17.942233032507524	-0.0519755817597548	0.999968414052896	1.0	3835.0
GREM1	ENSG00000166923	O60565	5	3	7	3	0	1	3	8.341126095852827	8.03295720966631	-0.3481033458756778	0.1925112094021434	0.8835529160219823	0.0	0.0	0.0	1.0	1.0	2648.0
PAM	ENSG00000145730	P19021	7	4	7	0	3	1	3	8.605606155786624	8.963560132158664	0.3518965038297583	0.1336378812469603	0.7897927864763976	13.218109881074565	13.401210195545168	0.225430273647057	0.475056906256061	0.830993049167064	3832.0
SHC1	ENSG00000160691	P29353	2	3	7	0	2	0	5	8.288397740573753	8.208856268460357	-0.0943686461867655	0.6873279989082219	0.9990269081233384	14.370186541863216	14.428095342586253	0.110649344787968	0.264185310191482	0.580524132191341	3476.5
VEGFA	ENSG00000112715	P15692	6	4	7	0	3	0	4	8.715605198595538	8.125377533447223	-0.6144463861580431	0.0182601623734833	0.3002355118671687	0.0	0.0	0.0	1.0	1.0	2871.5
