contig	polya_length	coverage	run	condition
ENST00000000233.10	80	89	s1_r1	s1
ENST00000000412.8	94	48	s1_r1	s1
ENST00000000442.11	45	22	s1_r1	s1
ENST00000001008.6	55	27	s1_r1	s1
ENST00000002125.9	49	7	s1_r1	s1
ENST00000002165.11	103	33	s1_r1	s1
ENST00000002501.11	95	1	s1_r1	s1
ENST00000002829.8	114	7	s1_r1	s1
ENST00000003100.13	44	94	s1_r1	s1
ENST00000003302.8	47	3	s1_r1	s1
ENST00000003912.7	50	10	s1_r1	s1
ENST00000004531.14	46	8	s1_r1	s1
ENST00000004982.6	49	5	s1_r1	s1
ENST00000005180.9	33	4	s1_r1	s1
ENST00000005257.7	38	154	s1_r1	s1
ENST00000005259.9	83	25	s1_r1	s1
ENST00000005286.8	148	168	s1_r1	s1
ENST00000005340.10	44	4	s1_r1	s1
ENST00000005374.10	91	1	s1_r1	s1
ENST00000005386.8	169	5	s1_r1	s1
ENST00000006275.8	80	2	s1_r1	s1
ENST00000006658.11	99	9	s1_r1	s1
ENST00000006777.11	79	21	s1_r1	s1
ENST00000007264.7	91	20	s1_r1	s1
ENST00000007390.3	87	71	s1_r1	s1
ENST00000007414.8	265	1	s1_r1	s1
ENST00000007516.8	73	93	s1_r1	s1
ENST00000008180.13	87	10	s1_r1	s1
ENST00000008527.10	138	11	s1_r1	s1
ENST00000009041.12	68	55	s1_r1	s1
ENST00000009180.10	143	8	s1_r1	s1
ENST00000009589.8	61	335	s1_r1	s1
ENST00000010132.6	59	5	s1_r1	s1
ENST00000010404.6	65	1	s1_r1	s1
ENST00000011473.6	88	7	s1_r1	s1
ENST00000011619.6	56	15	s1_r1	s1
ENST00000011691.6	26	9	s1_r1	s1
ENST00000011898.10	66	15	s1_r1	s1
ENST00000012049.10	44	7	s1_r1	s1
ENST00000012134.7	88	5	s1_r1	s1
ENST00000012443.9	143	22	s1_r1	s1
ENST00000013070.11	122	3	s1_r1	s1
ENST00000013125.9	77	5	s1_r1	s1
ENST00000013807.9	131	18	s1_r1	s1
ENST00000014914.6	136	10	s1_r1	s1
ENST00000014930.9	69	15	s1_r1	s1
ENST00000014935.7	105	5	s1_r1	s1
ENST00000016171.6	108	8	s1_r1	s1
ENST00000016946.8	277	8	s1_r1	s1
ENST00000017003.7	70	12	s1_r1	s1
ENST00000019019.6	88	1	s1_r1	s1
ENST00000019317.8	98	11	s1_r1	s1
ENST00000020673.6	111	2	s1_r1	s1
ENST00000020945.4	117	32	s1_r1	s1
ENST00000022615.9	41	53	s1_r1	s1
ENST00000023939.8	95	6	s1_r1	s1
ENST00000024061.7	104	1	s1_r1	s1
ENST00000025008.10	42	22	s1_r1	s1
ENST00000025301.4	83	11	s1_r1	s1
ENST00000026218.9	102	7	s1_r1	s1
ENST00000028008.9	111	9	s1_r1	s1
ENST00000029410.10	123	67	s1_r1	s1
ENST00000031146.8	53	4	s1_r1	s1
ENST00000033079.7	193	7	s1_r1	s1
ENST00000035307.6	68	101	s1_r1	s1
ENST00000037243.7	65	58	s1_r1	s1
ENST00000037869.7	63	19	s1_r1	s1
ENST00000038176.8	121	16	s1_r1	s1
ENST00000039989.9	113	20	s1_r1	s1
ENST00000040584.6	18	3	s1_r1	s1
ENST00000040663.8	169	5	s1_r1	s1
ENST00000040738.10	77	4	s1_r1	s1
ENST00000040877.2	102	6	s1_r1	s1
ENST00000042381.9	27	7	s1_r1	s1
ENST00000043402.8	23	1	s1_r1	s1
ENST00000044462.12	55	116	s1_r1	s1
ENST00000046640.9	33	2	s1_r1	s1
ENST00000052569.10	65	27	s1_r1	s1
ENST00000052754.10	155	341	s1_r1	s1
ENST00000053468.4	59	43	s1_r1	s1
ENST00000053867.8	151	331	s1_r1	s1
ENST00000054650.8	87	8	s1_r1	s1
ENST00000054666.11	46	50	s1_r1	s1
ENST00000054950.4	128	409	s1_r1	s1
ENST00000055077.8	25	6	s1_r1	s1
ENST00000055335.11	82	3	s1_r1	s1
ENST00000056233.4	68	6	s1_r1	s1
ENST00000060969.6	114	7	s1_r1	s1
ENST00000064724.8	75	67	s1_r1	s1
ENST00000064778.8	75	10	s1_r1	s1
ENST00000064780.7	139	19	s1_r1	s1
ENST00000066544.8	54	35	s1_r1	s1
ENST00000070846.11	274	1	s1_r1	s1
ENST00000072644.7	60	13	s1_r1	s1
ENST00000072869.9	45	12	s1_r1	s1
ENST00000074304.9	137	2	s1_r1	s1
ENST00000075120.12	79	29	s1_r1	s1
ENST00000075430.11	82	4	s1_r1	s1
ENST00000078429.9	55	37	s1_r1	s1
ENST00000080059.12	52	8	s1_r1	s1
ENST00000081029.8	61	41	s1_r1	s1
ENST00000082468.11	143	2	s1_r1	s1
ENST00000083182.8	91	26	s1_r1	s1
ENST00000084795.9	30	25	s1_r1	s1
ENST00000085068.7	103	3	s1_r1	s1
ENST00000085079.11	38	14	s1_r1	s1
ENST00000155093.8	91	6	s1_r1	s1
ENST00000155674.9	31	5	s1_r1	s1
ENST00000155926.9	44	20	s1_r1	s1
ENST00000156084.8	67	7	s1_r1	s1
ENST00000156109.7	73	14	s1_r1	s1
ENST00000156471.10	196	13	s1_r1	s1
ENST00000156825.5	57	26	s1_r1	s1
ENST00000157600.8	33	24	s1_r1	s1
ENST00000157812.7	53	35	s1_r1	s1
ENST00000158762.8	96	1	s1_r1	s1
ENST00000158771.9	59	85	s1_r1	s1
ENST00000159087.7	34	1	s1_r1	s1
ENST00000159111.9	26	7	s1_r1	s1
ENST00000160262.10	52	5	s1_r1	s1
ENST00000160373.8	94	1	s1_r1	s1
ENST00000160740.7	41	3	s1_r1	s1
ENST00000160827.9	72	5	s1_r1	s1
ENST00000161863.9	70	8	s1_r1	s1
ENST00000162044.14	60	12	s1_r1	s1
ENST00000162330.10	114	6	s1_r1	s1
ENST00000162391.8	172	3	s1_r1	s1
ENST00000162749.7	83	94	s1_r1	s1
ENST00000163416.7	42	48	s1_r1	s1
ENST00000163678.11	205	2	s1_r1	s1
ENST00000164024.5	26	1	s1_r1	s1
ENST00000164133.7	94	34	s1_r1	s1
ENST00000164227.10	24	21	s1_r1	s1
ENST00000164305.10	93	8	s1_r1	s1
ENST00000164640.8	2	1	s1_r1	s1
ENST00000166139.9	139	161	s1_r1	s1
ENST00000166345.8	70	4	s1_r1	s1
ENST00000166534.8	144	33	s1_r1	s1
ENST00000167106.9	83	5	s1_r1	s1
ENST00000167218.9	118	1	s1_r1	s1
ENST00000168216.11	37	34	s1_r1	s1
ENST00000169551.11	90	18	s1_r1	s1
ENST00000170168.9	99	3	s1_r1	s1
ENST00000170447.12	66	25	s1_r1	s1
ENST00000170564.7	95	2	s1_r1	s1
ENST00000170630.6	144	4	s1_r1	s1
ENST00000171111.10	65	19	s1_r1	s1
ENST00000171887.8	81	8	s1_r1	s1
ENST00000173527.6	102	2	s1_r1	s1
ENST00000173898.12	116	3	s1_r1	s1
ENST00000174618.5	32	14	s1_r1	s1
ENST00000174653.3	220	2	s1_r1	s1
ENST00000175091.5	71	423	s1_r1	s1
ENST00000175506.8	93	21	s1_r1	s1
ENST00000175756.10	24	8	s1_r1	s1
ENST00000176643.11	148	5	s1_r1	s1
ENST00000176763.10	106	11	s1_r1	s1
ENST00000177742.7	61	8	s1_r1	s1
ENST00000178638.8	74	70	s1_r1	s1
ENST00000178640.10	49	8	s1_r1	s1
ENST00000179259.6	42	14	s1_r1	s1
ENST00000180173.10	54	2	s1_r1	s1
ENST00000181796.7	59	5	s1_r1	s1
ENST00000181839.10	98	11	s1_r1	s1
ENST00000182377.8	136	1	s1_r1	s1
ENST00000182527.4	122	22	s1_r1	s1
ENST00000184266.3	58	133	s1_r1	s1
ENST00000184956.11	85	8	s1_r1	s1
ENST00000185150.9	47	95	s1_r1	s1
ENST00000186436.10	141	19	s1_r1	s1
ENST00000187762.7	80	1	s1_r1	s1
ENST00000187830.2	122	2	s1_r1	s1
ENST00000188312.7	75	9	s1_r1	s1
ENST00000188376.9	96	45	s1_r1	s1
ENST00000188790.9	167	304	s1_r1	s1
ENST00000189444.11	68	10	s1_r1	s1
ENST00000191018.9	56	7	s1_r1	s1
ENST00000191063.8	143	1	s1_r1	s1
ENST00000192788.6	21	8	s1_r1	s1
ENST00000193322.8	38	36	s1_r1	s1
ENST00000193403.10	53	24	s1_r1	s1
ENST00000194118.8	22	4	s1_r1	s1
ENST00000194152.4	98	2	s1_r1	s1
ENST00000194155.7	143	13	s1_r1	s1
ENST00000194214.10	43	31	s1_r1	s1
ENST00000194530.8	74	12	s1_r1	s1
ENST00000196061.5	146	585	s1_r1	s1
ENST00000196169.7	48	3	s1_r1	s1
ENST00000196371.10	65	20	s1_r1	s1
ENST00000196482.4	5	4	s1_r1	s1
ENST00000196489.4	30	4	s1_r1	s1
ENST00000196551.8	57	505	s1_r1	s1
ENST00000197268.13	77	1	s1_r1	s1
ENST00000198767.11	212	7	s1_r1	s1
ENST00000198939.6	93	4	s1_r1	s1
ENST00000199320.9	171	32	s1_r1	s1
ENST00000199389.11	35	58	s1_r1	s1
ENST00000199448.9	92	59	s1_r1	s1
ENST00000199706.13	57	38	s1_r1	s1
ENST00000199814.9	138	25	s1_r1	s1
ENST00000199940.10	49	1	s1_r1	s1
ENST00000200135.8	32	11	s1_r1	s1
ENST00000200453.6	80	85	s1_r1	s1
ENST00000200457.9	91	57	s1_r1	s1
ENST00000200639.9	116	56	s1_r1	s1
ENST00000200652.4	37	9	s1_r1	s1
ENST00000200691.5	67	16	s1_r1	s1
ENST00000201015.8	68	2	s1_r1	s1
ENST00000202017.6	192	10	s1_r1	s1
ENST00000202028.9	76	1	s1_r1	s1
ENST00000202556.14	61	1	s1_r1	s1
ENST00000202773.14	57	1627	s1_r1	s1
ENST00000202816.5	44	9	s1_r1	s1
ENST00000202831.7	102	2	s1_r1	s1
ENST00000202834.11	60	102	s1_r1	s1
ENST00000203001.7	99	10	s1_r1	s1
ENST00000203166.10	200	1	s1_r1	s1
ENST00000203407.6	47	87	s1_r1	s1
ENST00000203556.9	57	6	s1_r1	s1
ENST00000203630.10	52	171	s1_r1	s1
ENST00000203664.10	38	2	s1_r1	s1
ENST00000204005.13	176	5	s1_r1	s1
ENST00000204517.11	89	4	s1_r1	s1
ENST00000204549.9	161	3	s1_r1	s1
ENST00000204566.7	109	33	s1_r1	s1
ENST00000204679.9	124	87	s1_r1	s1
ENST00000204726.8	103	25	s1_r1	s1
ENST00000204961.5	168	15	s1_r1	s1
ENST00000205061.9	174	25	s1_r1	s1
ENST00000205135.8	14	2	s1_r1	s1
ENST00000205143.4	60	1	s1_r1	s1
ENST00000205194.5	69	26	s1_r1	s1
ENST00000205402.10	78	27	s1_r1	s1
ENST00000205636.4	115	83	s1_r1	s1
ENST00000206020.8	104	44	s1_r1	s1
ENST00000206262.2	78	3	s1_r1	s1
ENST00000206380.8	76	17	s1_r1	s1
ENST00000206423.8	122	201	s1_r1	s1
ENST00000206451.11	99	36	s1_r1	s1
ENST00000206474.11	115	1	s1_r1	s1
ENST00000206542.9	50	18	s1_r1	s1
ENST00000206595.11	193	7	s1_r1	s1
ENST00000206765.11	43	1	s1_r1	s1
ENST00000207636.9	154	1	s1_r1	s1
ENST00000207870.8	115	2	s1_r1	s1
ENST00000209728.9	18	2	s1_r1	s1
ENST00000209873.9	73	6	s1_r1	s1
ENST00000209875.9	61	28	s1_r1	s1
ENST00000209884.5	176	3	s1_r1	s1
ENST00000210060.12	89	51	s1_r1	s1
ENST00000210313.8	117	26	s1_r1	s1
ENST00000210444.6	51	87	s1_r1	s1
ENST00000211314.5	158	18	s1_r1	s1
ENST00000211372.9	46	541	s1_r1	s1
ENST00000211379.9	52	10	s1_r1	s1
ENST00000211402.10	73	4	s1_r1	s1
ENST00000211998.10	210	9	s1_r1	s1
ENST00000212015.11	54	2	s1_r1	s1
ENST00000214869.7	127	73	s1_r1	s1
ENST00000214893.9	131	3	s1_r1	s1
ENST00000215057.7	98	3	s1_r1	s1
ENST00000215061.9	66	6	s1_r1	s1
ENST00000215071.9	57	109	s1_r1	s1
ENST00000215115.5	54	70	s1_r1	s1
ENST00000215375.7	68	14	s1_r1	s1
ENST00000215555.7	85	5	s1_r1	s1
ENST00000215565.3	52	91	s1_r1	s1
ENST00000215567.10	47	48	s1_r1	s1
ENST00000215570.8	73	85	s1_r1	s1
ENST00000215574.9	50	35	s1_r1	s1
ENST00000215587.11	67	2	s1_r1	s1
ENST00000215631.9	160	11	s1_r1	s1
ENST00000215659.13	95	4	s1_r1	s1
ENST00000215727.10	48	2	s1_r1	s1
ENST00000215730.12	38	15	s1_r1	s1
ENST00000215742.9	123	3	s1_r1	s1
ENST00000215754.8	62	183	s1_r1	s1
ENST00000215770.6	140	1	s1_r1	s1
ENST00000215790.12	40	24	s1_r1	s1
ENST00000215793.13	139	18	s1_r1	s1
ENST00000215798.10	72	1	s1_r1	s1
ENST00000215829.8	74	65	s1_r1	s1
ENST00000215832.11	46	60	s1_r1	s1
ENST00000215882.10	53	93	s1_r1	s1
ENST00000215904.7	124	22	s1_r1	s1
