contig	polya_length	coverage	run	condition
ENST00000000233.10	49	78	s1_r3	s1
ENST00000000412.8	124	60	s1_r3	s1
ENST00000000442.11	53	13	s1_r3	s1
ENST00000001008.6	42	26	s1_r3	s1
ENST00000002125.9	43	5	s1_r3	s1
ENST00000002165.11	144	34	s1_r3	s1
ENST00000002501.11	83	1	s1_r3	s1
ENST00000002829.8	136	5	s1_r3	s1
ENST00000003100.13	94	41	s1_r3	s1
ENST00000003302.8	121	3	s1_r3	s1
ENST00000003912.7	36	1	s1_r3	s1
ENST00000004531.14	92	11	s1_r3	s1
ENST00000004982.6	100	5	s1_r3	s1
ENST00000005178.6	73	2	s1_r3	s1
ENST00000005257.7	50	155	s1_r3	s1
ENST00000005259.9	67	27	s1_r3	s1
ENST00000005260.9	131	3	s1_r3	s1
ENST00000005286.8	143	128	s1_r3	s1
ENST00000005340.10	176	5	s1_r3	s1
ENST00000005386.8	86	9	s1_r3	s1
ENST00000006015.4	81	2	s1_r3	s1
ENST00000006275.8	60	2	s1_r3	s1
ENST00000006658.11	87	3	s1_r3	s1
ENST00000006777.11	117	39	s1_r3	s1
ENST00000007264.7	86	13	s1_r3	s1
ENST00000007390.3	56	81	s1_r3	s1
ENST00000007414.8	13	2	s1_r3	s1
ENST00000007516.8	51	104	s1_r3	s1
ENST00000007969.12	31	1	s1_r3	s1
ENST00000008180.13	34	11	s1_r3	s1
ENST00000008527.10	184	11	s1_r3	s1
ENST00000009041.12	58	55	s1_r3	s1
ENST00000009180.10	113	14	s1_r3	s1
ENST00000009589.8	56	304	s1_r3	s1
ENST00000010132.6	60	3	s1_r3	s1
ENST00000010404.6	122	1	s1_r3	s1
ENST00000011473.6	146	6	s1_r3	s1
ENST00000011619.6	87	15	s1_r3	s1
ENST00000011691.6	41	11	s1_r3	s1
ENST00000011700.10	95	2	s1_r3	s1
ENST00000011898.10	85	14	s1_r3	s1
ENST00000012049.10	43	1	s1_r3	s1
ENST00000012134.7	109	13	s1_r3	s1
ENST00000012443.9	33	16	s1_r3	s1
ENST00000013070.11	47	2	s1_r3	s1
ENST00000013125.9	56	9	s1_r3	s1
ENST00000013807.9	53	24	s1_r3	s1
ENST00000014914.6	99	5	s1_r3	s1
ENST00000014930.9	69	16	s1_r3	s1
ENST00000014935.7	176	5	s1_r3	s1
ENST00000016171.6	64	6	s1_r3	s1
ENST00000016946.8	47	8	s1_r3	s1
ENST00000017003.7	81	7	s1_r3	s1
ENST00000019317.8	64	6	s1_r3	s1
ENST00000020945.4	42	20	s1_r3	s1
ENST00000022615.9	42	55	s1_r3	s1
ENST00000023939.8	119	5	s1_r3	s1
ENST00000025008.10	42	20	s1_r3	s1
ENST00000025301.4	147	9	s1_r3	s1
ENST00000026218.9	98	6	s1_r3	s1
ENST00000028008.9	49	7	s1_r3	s1
ENST00000029410.10	115	71	s1_r3	s1
ENST00000031146.8	139	1	s1_r3	s1
ENST00000033079.7	143	15	s1_r3	s1
ENST00000034275.12	34	2	s1_r3	s1
ENST00000035307.6	113	118	s1_r3	s1
ENST00000037243.7	49	48	s1_r3	s1
ENST00000037869.7	53	15	s1_r3	s1
ENST00000038176.8	77	12	s1_r3	s1
ENST00000039989.9	54	6	s1_r3	s1
ENST00000040584.6	69	6	s1_r3	s1
ENST00000040663.8	78	2	s1_r3	s1
ENST00000040738.10	89	6	s1_r3	s1
ENST00000040877.2	199	4	s1_r3	s1
ENST00000042381.9	86	6	s1_r3	s1
ENST00000043402.8	9	1	s1_r3	s1
ENST00000044462.12	63	122	s1_r3	s1
ENST00000046640.9	30	9	s1_r3	s1
ENST00000052569.10	46	29	s1_r3	s1
ENST00000052754.10	149	332	s1_r3	s1
ENST00000053468.4	78	39	s1_r3	s1
ENST00000053867.8	154	315	s1_r3	s1
ENST00000054650.8	116	7	s1_r3	s1
ENST00000054666.11	52	46	s1_r3	s1
ENST00000054950.4	110	399	s1_r3	s1
ENST00000055077.8	101	10	s1_r3	s1
ENST00000055335.11	138	3	s1_r3	s1
ENST00000056233.4	87	8	s1_r3	s1
ENST00000060969.6	35	5	s1_r3	s1
ENST00000064724.8	53	24	s1_r3	s1
ENST00000064778.8	33	11	s1_r3	s1
ENST00000064780.7	132	13	s1_r3	s1
ENST00000066544.8	71	43	s1_r3	s1
ENST00000070846.11	181	1	s1_r3	s1
ENST00000072644.7	43	10	s1_r3	s1
ENST00000072869.9	40	11	s1_r3	s1
ENST00000074304.9	215	1	s1_r3	s1
ENST00000075120.12	99	22	s1_r3	s1
ENST00000075430.11	21	3	s1_r3	s1
ENST00000078429.9	42	25	s1_r3	s1
ENST00000080059.12	18	7	s1_r3	s1
ENST00000081029.8	79	50	s1_r3	s1
ENST00000083182.8	75	20	s1_r3	s1
ENST00000084795.9	42	23	s1_r3	s1
ENST00000085068.7	108	2	s1_r3	s1
ENST00000085079.11	48	9	s1_r3	s1
ENST00000155093.8	34	6	s1_r3	s1
ENST00000155674.9	95	9	s1_r3	s1
ENST00000155926.9	80	18	s1_r3	s1
ENST00000156084.8	70	3	s1_r3	s1
ENST00000156109.7	130	16	s1_r3	s1
ENST00000156471.10	54	8	s1_r3	s1
ENST00000156825.5	109	32	s1_r3	s1
ENST00000157600.8	35	21	s1_r3	s1
ENST00000157812.7	54	35	s1_r3	s1
ENST00000158762.8	103	3	s1_r3	s1
ENST00000158771.9	69	61	s1_r3	s1
ENST00000159087.7	120	1	s1_r3	s1
ENST00000159111.9	27	3	s1_r3	s1
ENST00000160262.10	46	6	s1_r3	s1
ENST00000160373.8	117	1	s1_r3	s1
ENST00000160740.7	148	5	s1_r3	s1
ENST00000160827.9	125	6	s1_r3	s1
ENST00000161863.9	15	1	s1_r3	s1
ENST00000162044.14	37	12	s1_r3	s1
ENST00000162330.10	25	17	s1_r3	s1
ENST00000162391.8	200	3	s1_r3	s1
ENST00000162749.7	141	79	s1_r3	s1
ENST00000163416.7	92	31	s1_r3	s1
ENST00000164024.5	268	1	s1_r3	s1
ENST00000164133.7	61	25	s1_r3	s1
ENST00000164227.10	72	7	s1_r3	s1
ENST00000164305.10	27	6	s1_r3	s1
ENST00000164640.8	113	1	s1_r3	s1
ENST00000166139.9	125	283	s1_r3	s1
ENST00000166345.8	36	2	s1_r3	s1
ENST00000166534.8	53	34	s1_r3	s1
ENST00000167106.9	62	1	s1_r3	s1
ENST00000167462.9	46	1	s1_r3	s1
ENST00000168216.11	64	46	s1_r3	s1
ENST00000169298.8	74	3	s1_r3	s1
ENST00000169551.11	71	22	s1_r3	s1
ENST00000170168.9	77	6	s1_r3	s1
ENST00000170447.12	32	22	s1_r3	s1
ENST00000170564.7	45	1	s1_r3	s1
ENST00000170630.6	40	2	s1_r3	s1
ENST00000171111.10	29	17	s1_r3	s1
ENST00000171887.8	104	22	s1_r3	s1
