contig	polya_length	coverage	run	condition
ENST00000000233.10	70	102	s2_r1	s2
ENST00000000412.8	102	75	s2_r1	s2
ENST00000000442.11	26	13	s2_r1	s2
ENST00000001008.6	36	34	s2_r1	s2
ENST00000002125.9	47	4	s2_r1	s2
ENST00000002165.11	128	38	s2_r1	s2
ENST00000002829.8	172	8	s2_r1	s2
ENST00000003100.13	50	78	s2_r1	s2
ENST00000003302.8	69	7	s2_r1	s2
ENST00000003583.12	69	2	s2_r1	s2
ENST00000003912.7	115	12	s2_r1	s2
ENST00000004531.14	135	7	s2_r1	s2
ENST00000004982.6	156	1	s2_r1	s2
ENST00000005178.6	91	2	s2_r1	s2
ENST00000005180.9	103	2	s2_r1	s2
ENST00000005257.7	35	184	s2_r1	s2
ENST00000005259.9	46	28	s2_r1	s2
ENST00000005260.9	13	2	s2_r1	s2
ENST00000005286.8	153	159	s2_r1	s2
ENST00000005340.10	122	15	s2_r1	s2
ENST00000005386.8	29	10	s2_r1	s2
ENST00000006275.8	43	1	s2_r1	s2
ENST00000006658.11	63	10	s2_r1	s2
ENST00000006777.11	76	29	s2_r1	s2
ENST00000007264.7	35	15	s2_r1	s2
ENST00000007390.3	53	74	s2_r1	s2
ENST00000007414.8	21	2	s2_r1	s2
ENST00000007516.8	45	111	s2_r1	s2
ENST00000008180.13	87	8	s2_r1	s2
ENST00000008527.10	127	10	s2_r1	s2
ENST00000009041.12	58	69	s2_r1	s2
ENST00000009180.10	135	11	s2_r1	s2
ENST00000009589.8	58	347	s2_r1	s2
ENST00000010132.6	58	9	s2_r1	s2
ENST00000010404.6	95	4	s2_r1	s2
ENST00000011473.6	81	11	s2_r1	s2
ENST00000011619.6	63	22	s2_r1	s2
ENST00000011691.6	40	9	s2_r1	s2
ENST00000011898.10	109	10	s2_r1	s2
ENST00000012049.10	141	8	s2_r1	s2
ENST00000012134.7	141	7	s2_r1	s2
ENST00000012443.9	54	27	s2_r1	s2
ENST00000013070.11	129	5	s2_r1	s2
ENST00000013125.9	134	6	s2_r1	s2
ENST00000013807.9	52	21	s2_r1	s2
ENST00000014914.6	73	8	s2_r1	s2
ENST00000014930.9	98	13	s2_r1	s2
ENST00000014935.7	132	4	s2_r1	s2
ENST00000016171.6	72	16	s2_r1	s2
ENST00000016946.8	154	5	s2_r1	s2
ENST00000017003.7	76	10	s2_r1	s2
ENST00000019019.6	23	2	s2_r1	s2
ENST00000019317.8	152	6	s2_r1	s2
ENST00000020673.6	19	1	s2_r1	s2
ENST00000020945.4	35	36	s2_r1	s2
ENST00000022615.9	164	48	s2_r1	s2
ENST00000023939.8	101	15	s2_r1	s2
ENST00000025008.10	86	18	s2_r1	s2
ENST00000025301.4	38	6	s2_r1	s2
ENST00000026218.9	125	10	s2_r1	s2
ENST00000028008.9	104	8	s2_r1	s2
ENST00000029410.10	107	58	s2_r1	s2
ENST00000031146.8	132	5	s2_r1	s2
ENST00000033079.7	128	9	s2_r1	s2
ENST00000034275.12	111	4	s2_r1	s2
ENST00000035307.6	99	103	s2_r1	s2
ENST00000037243.7	51	60	s2_r1	s2
ENST00000037502.11	184	1	s2_r1	s2
ENST00000037869.7	44	16	s2_r1	s2
ENST00000038176.8	75	27	s2_r1	s2
ENST00000039989.9	125	29	s2_r1	s2
ENST00000040584.6	78	4	s2_r1	s2
ENST00000040663.8	61	4	s2_r1	s2
ENST00000040738.10	110	13	s2_r1	s2
ENST00000040877.2	157	2	s2_r1	s2
ENST00000042381.9	152	3	s2_r1	s2
ENST00000044462.12	59	121	s2_r1	s2
ENST00000046640.9	177	4	s2_r1	s2
ENST00000052569.10	47	21	s2_r1	s2
ENST00000052754.10	153	327	s2_r1	s2
ENST00000053468.4	64	42	s2_r1	s2
ENST00000053867.8	155	348	s2_r1	s2
ENST00000054650.8	41	15	s2_r1	s2
ENST00000054666.11	50	48	s2_r1	s2
ENST00000054950.4	113	401	s2_r1	s2
ENST00000055077.8	109	9	s2_r1	s2
ENST00000055335.11	8	1	s2_r1	s2
ENST00000056233.4	152	13	s2_r1	s2
ENST00000060969.6	93	7	s2_r1	s2
ENST00000064724.8	116	111	s2_r1	s2
ENST00000064778.8	34	14	s2_r1	s2
ENST00000064780.7	51	15	s2_r1	s2
ENST00000066544.8	51	40	s2_r1	s2
ENST00000072516.7	100	2	s2_r1	s2
ENST00000072644.7	109	10	s2_r1	s2
ENST00000072869.9	37	8	s2_r1	s2
ENST00000074304.9	46	2	s2_r1	s2
ENST00000075120.12	98	19	s2_r1	s2
ENST00000075430.11	38	5	s2_r1	s2
ENST00000078429.9	64	32	s2_r1	s2
ENST00000078527.9	197	1	s2_r1	s2
ENST00000080059.12	132	8	s2_r1	s2
ENST00000081029.8	137	38	s2_r1	s2
ENST00000082468.11	177	1	s2_r1	s2
ENST00000083182.8	25	18	s2_r1	s2
ENST00000084795.9	32	23	s2_r1	s2
ENST00000085068.7	79	3	s2_r1	s2
ENST00000085079.11	62	12	s2_r1	s2
ENST00000155093.8	31	13	s2_r1	s2
ENST00000155674.9	47	8	s2_r1	s2
ENST00000155926.9	105	24	s2_r1	s2
ENST00000156084.8	26	4	s2_r1	s2
ENST00000156109.7	54	16	s2_r1	s2
ENST00000156471.10	75	21	s2_r1	s2
ENST00000156825.5	100	33	s2_r1	s2
ENST00000157600.8	54	16	s2_r1	s2
