contig	polya_length	coverage	run	condition
ENST00000000233.10	52	41	s2_r2	s2
ENST00000000412.8	79	30	s2_r2	s2
ENST00000000442.11	53	4	s2_r2	s2
ENST00000001008.6	84	20	s2_r2	s2
ENST00000002165.11	152	13	s2_r2	s2
ENST00000002501.11	45	2	s2_r2	s2
ENST00000003100.13	87	26	s2_r2	s2
ENST00000003302.8	100	1	s2_r2	s2
ENST00000003912.7	57	5	s2_r2	s2
ENST00000004531.14	13	2	s2_r2	s2
ENST00000004982.6	119	3	s2_r2	s2
ENST00000005180.9	183	1	s2_r2	s2
ENST00000005257.7	39	73	s2_r2	s2
ENST00000005259.9	65	4	s2_r2	s2
ENST00000005260.9	221	1	s2_r2	s2
ENST00000005286.8	136	50	s2_r2	s2
ENST00000005340.10	53	2	s2_r2	s2
ENST00000005386.8	69	5	s2_r2	s2
ENST00000006053.7	169	1	s2_r2	s2
ENST00000006275.8	86	3	s2_r2	s2
ENST00000006658.11	90	4	s2_r2	s2
ENST00000006777.11	120	15	s2_r2	s2
ENST00000007264.7	103	3	s2_r2	s2
ENST00000007390.3	56	34	s2_r2	s2
ENST00000007414.8	99	1	s2_r2	s2
ENST00000007516.8	65	28	s2_r2	s2
ENST00000008180.13	73	4	s2_r2	s2
ENST00000008527.10	87	6	s2_r2	s2
ENST00000009041.12	61	16	s2_r2	s2
ENST00000009180.10	233	3	s2_r2	s2
ENST00000009589.8	54	119	s2_r2	s2
ENST00000010132.6	150	1	s2_r2	s2
ENST00000010404.6	115	1	s2_r2	s2
ENST00000011473.6	75	4	s2_r2	s2
ENST00000011619.6	29	10	s2_r2	s2
ENST00000011691.6	17	1	s2_r2	s2
ENST00000011898.10	90	6	s2_r2	s2
ENST00000012049.10	89	4	s2_r2	s2
ENST00000012134.7	253	3	s2_r2	s2
ENST00000012443.9	74	9	s2_r2	s2
ENST00000013125.9	170	5	s2_r2	s2
ENST00000013807.9	57	11	s2_r2	s2
ENST00000014914.6	56	2	s2_r2	s2
