contig	polya_length	coverage	run	condition
ENST00000000233.10	77	87	s2_r3	s2
ENST00000000412.8	57	54	s2_r3	s2
ENST00000000442.11	33	1	s2_r3	s2
ENST00000001008.6	58	19	s2_r3	s2
ENST00000002125.9	110	7	s2_r3	s2
ENST00000002165.11	94	29	s2_r3	s2
ENST00000002501.11	89	3	s2_r3	s2
ENST00000002829.8	59	4	s2_r3	s2
ENST00000003100.13	79	47	s2_r3	s2
ENST00000003302.8	122	3	s2_r3	s2
ENST00000003912.7	35	5	s2_r3	s2
ENST00000004531.14	43	9	s2_r3	s2
ENST00000004982.6	152	3	s2_r3	s2
ENST00000005257.7	44	163	s2_r3	s2
ENST00000005259.9	43	28	s2_r3	s2
ENST00000005260.9	72	2	s2_r3	s2
ENST00000005286.8	142	31	s2_r3	s2
ENST00000005340.10	57	6	s2_r3	s2
ENST00000005386.8	231	9	s2_r3	s2
ENST00000006275.8	119	2	s2_r3	s2
ENST00000006658.11	28	4	s2_r3	s2
ENST00000006777.11	84	20	s2_r3	s2
ENST00000007264.7	106	6	s2_r3	s2
ENST00000007390.3	50	82	s2_r3	s2
ENST00000007516.8	41	100	s2_r3	s2
ENST00000007708.7	194	1	s2_r3	s2
ENST00000007969.12	96	1	s2_r3	s2
ENST00000008180.13	44	15	s2_r3	s2
ENST00000008527.10	111	14	s2_r3	s2
ENST00000009041.12	50	66	s2_r3	s2
ENST00000009180.10	155	10	s2_r3	s2
ENST00000009589.8	55	364	s2_r3	s2
ENST00000010132.6	180	6	s2_r3	s2
ENST00000010404.6	32	2	s2_r3	s2
ENST00000011473.6	82	8	s2_r3	s2
ENST00000011619.6	131	15	s2_r3	s2
ENST00000011691.6	185	7	s2_r3	s2
ENST00000011898.10	43	4	s2_r3	s2
ENST00000012049.10	30	4	s2_r3	s2
ENST00000012134.7	105	7	s2_r3	s2
ENST00000012443.9	124	20	s2_r3	s2
ENST00000013070.11	26	2	s2_r3	s2
ENST00000013125.9	91	6	s2_r3	s2
ENST00000013807.9	46	15	s2_r3	s2
ENST00000014914.6	35	6	s2_r3	s2
ENST00000014930.9	85	3	s2_r3	s2
ENST00000014935.7	57	5	s2_r3	s2
ENST00000016171.6	55	7	s2_r3	s2
ENST00000016946.8	74	2	s2_r3	s2
ENST00000017003.7	134	5	s2_r3	s2
ENST00000019317.8	31	4	s2_r3	s2
ENST00000020673.6	133	2	s2_r3	s2
ENST00000020945.4	27	27	s2_r3	s2
ENST00000022615.9	49	50	s2_r3	s2
ENST00000023939.8	64	9	s2_r3	s2
ENST00000025008.10	67	16	s2_r3	s2
ENST00000025301.4	112	11	s2_r3	s2
ENST00000026218.9	102	5	s2_r3	s2
ENST00000028008.9	102	7	s2_r3	s2
ENST00000029410.10	109	64	s2_r3	s2
ENST00000031146.8	184	1	s2_r3	s2
