contig	polya_length	coverage	run	condition
ENST00000000233.10	61	68	s3_r1	s3
ENST00000000412.8	60	56	s3_r1	s3
ENST00000000442.11	158	11	s3_r1	s3
ENST00000001008.6	51	30	s3_r1	s3
ENST00000002125.9	131	1	s3_r1	s3
ENST00000002165.11	129	37	s3_r1	s3
ENST00000002829.8	112	8	s3_r1	s3
ENST00000003100.13	139	85	s3_r1	s3
ENST00000003302.8	25	3	s3_r1	s3
ENST00000003583.12	38	3	s3_r1	s3
ENST00000003912.7	112	8	s3_r1	s3
ENST00000004531.14	76	4	s3_r1	s3
ENST00000004982.6	154	7	s3_r1	s3
ENST00000005082.13	119	1	s3_r1	s3
ENST00000005257.7	139	151	s3_r1	s3
ENST00000005259.9	55	19	s3_r1	s3
ENST00000005260.9	117	5	s3_r1	s3
ENST00000005286.8	153	102	s3_r1	s3
ENST00000005340.10	56	9	s3_r1	s3
ENST00000005386.8	80	5	s3_r1	s3
ENST00000006251.11	108	1	s3_r1	s3
ENST00000006275.8	59	3	s3_r1	s3
ENST00000006658.11	52	6	s3_r1	s3
ENST00000006777.11	85	31	s3_r1	s3
ENST00000007264.7	75	9	s3_r1	s3
ENST00000007390.3	66	55	s3_r1	s3
ENST00000007414.8	62	3	s3_r1	s3
ENST00000007516.8	85	60	s3_r1	s3
ENST00000008180.13	77	12	s3_r1	s3
ENST00000008527.10	118	13	s3_r1	s3
ENST00000009041.12	44	48	s3_r1	s3
ENST00000009180.10	261	5	s3_r1	s3
ENST00000009589.8	61	277	s3_r1	s3
ENST00000010132.6	52	4	s3_r1	s3
ENST00000010404.6	65	1	s3_r1	s3
ENST00000011473.6	47	10	s3_r1	s3
ENST00000011619.6	61	25	s3_r1	s3
ENST00000011653.9	111	1	s3_r1	s3
ENST00000011691.6	163	6	s3_r1	s3
ENST00000011700.10	175	1	s3_r1	s3
ENST00000011898.10	151	8	s3_r1	s3
ENST00000012049.10	79	3	s3_r1	s3
ENST00000012134.7	126	14	s3_r1	s3
ENST00000012443.9	145	21	s3_r1	s3
ENST00000013070.11	81	2	s3_r1	s3
ENST00000013125.9	74	19	s3_r1	s3
ENST00000013807.9	75	13	s3_r1	s3
ENST00000014914.6	84	8	s3_r1	s3
ENST00000014930.9	87	18	s3_r1	s3
ENST00000014935.7	73	2	s3_r1	s3
ENST00000016171.6	36	10	s3_r1	s3
ENST00000016946.8	69	8	s3_r1	s3
ENST00000017003.7	114	7	s3_r1	s3
ENST00000019019.6	25	1	s3_r1	s3
ENST00000019317.8	68	9	s3_r1	s3
ENST00000020673.6	48	1	s3_r1	s3
ENST00000020945.4	23	20	s3_r1	s3
ENST00000022615.9	108	53	s3_r1	s3
ENST00000023939.8	72	8	s3_r1	s3
ENST00000024061.7	65	2	s3_r1	s3
ENST00000025008.10	49	22	s3_r1	s3
ENST00000025301.4	112	11	s3_r1	s3
ENST00000026218.9	109	5	s3_r1	s3
ENST00000028008.9	108	7	s3_r1	s3
ENST00000029410.10	102	50	s3_r1	s3
ENST00000031146.8	53	6	s3_r1	s3
ENST00000033079.7	186	10	s3_r1	s3
ENST00000034275.12	71	1	s3_r1	s3
ENST00000035307.6	112	145	s3_r1	s3
ENST00000037243.7	55	46	s3_r1	s3
ENST00000037869.7	127	17	s3_r1	s3
ENST00000038176.8	129	18	s3_r1	s3
ENST00000039989.9	44	22	s3_r1	s3
ENST00000040584.6	51	3	s3_r1	s3
ENST00000040663.8	191	3	s3_r1	s3
ENST00000040738.10	219	12	s3_r1	s3
ENST00000040877.2	35	6	s3_r1	s3
ENST00000042381.9	159	3	s3_r1	s3
ENST00000043402.8	20	1	s3_r1	s3
ENST00000044462.12	51	77	s3_r1	s3
ENST00000046640.9	67	4	s3_r1	s3
ENST00000052569.10	92	56	s3_r1	s3
ENST00000052754.10	155	432	s3_r1	s3
ENST00000053468.4	70	40	s3_r1	s3
ENST00000053867.8	153	388	s3_r1	s3
ENST00000054650.8	133	9	s3_r1	s3
ENST00000054666.11	58	58	s3_r1	s3
ENST00000054950.4	110	308	s3_r1	s3
ENST00000055077.8	49	4	s3_r1	s3
ENST00000055335.11	95	6	s3_r1	s3
ENST00000056233.4	89	13	s3_r1	s3
ENST00000057513.8	17	1	s3_r1	s3
ENST00000060969.6	157	6	s3_r1	s3
ENST00000064724.8	122	66	s3_r1	s3
ENST00000064778.8	30	18	s3_r1	s3
ENST00000064780.7	142	22	s3_r1	s3
ENST00000066544.8	86	42	s3_r1	s3
ENST00000070846.11	153	1	s3_r1	s3
