contig	polya_length	coverage	run	condition
ENST00000000233.10	87	103	s3_r2	s3
ENST00000000412.8	51	32	s3_r2	s3
ENST00000000442.11	22	4	s3_r2	s3
ENST00000001008.6	28	11	s3_r2	s3
ENST00000002125.9	155	4	s3_r2	s3
ENST00000002165.11	89	29	s3_r2	s3
ENST00000002501.11	118	1	s3_r2	s3
ENST00000002829.8	157	2	s3_r2	s3
ENST00000003100.13	152	42	s3_r2	s3
ENST00000003912.7	147	3	s3_r2	s3
ENST00000004531.14	101	1	s3_r2	s3
ENST00000004982.6	31	6	s3_r2	s3
ENST00000005178.6	99	2	s3_r2	s3
ENST00000005180.9	39	3	s3_r2	s3
ENST00000005257.7	94	62	s3_r2	s3
ENST00000005259.9	101	12	s3_r2	s3
ENST00000005260.9	123	4	s3_r2	s3
ENST00000005286.8	148	48	s3_r2	s3
ENST00000005340.10	100	3	s3_r2	s3
ENST00000005386.8	45	4	s3_r2	s3
ENST00000006275.8	77	6	s3_r2	s3
ENST00000006658.11	52	8	s3_r2	s3
ENST00000006777.11	57	39	s3_r2	s3
ENST00000007264.7	79	8	s3_r2	s3
ENST00000007390.3	61	56	s3_r2	s3
ENST00000007516.8	106	71	s3_r2	s3
ENST00000007708.7	37	1	s3_r2	s3
ENST00000008180.13	108	8	s3_r2	s3
ENST00000008527.10	152	13	s3_r2	s3
ENST00000009041.12	89	31	s3_r2	s3
ENST00000009180.10	72	13	s3_r2	s3
ENST00000009589.8	55	351	s3_r2	s3
ENST00000010132.6	28	7	s3_r2	s3
ENST00000010404.6	128	1	s3_r2	s3
ENST00000011473.6	151	6	s3_r2	s3
ENST00000011619.6	62	15	s3_r2	s3
ENST00000011691.6	25	10	s3_r2	s3
ENST00000011898.10	44	6	s3_r2	s3
ENST00000012049.10	17	2	s3_r2	s3
ENST00000012134.7	25	6	s3_r2	s3
ENST00000012443.9	58	15	s3_r2	s3
ENST00000013070.11	78	2	s3_r2	s3
ENST00000013125.9	159	6	s3_r2	s3
ENST00000013807.9	46	9	s3_r2	s3
ENST00000014914.6	84	10	s3_r2	s3
ENST00000014930.9	103	9	s3_r2	s3
ENST00000014935.7	78	7	s3_r2	s3
ENST00000016946.8	145	10	s3_r2	s3
ENST00000017003.7	96	5	s3_r2	s3
ENST00000019317.8	91	6	s3_r2	s3
ENST00000020945.4	18	22	s3_r2	s3
ENST00000022615.9	59	31	s3_r2	s3
ENST00000023939.8	47	9	s3_r2	s3
ENST00000025008.10	114	10	s3_r2	s3
ENST00000025301.4	253	7	s3_r2	s3
ENST00000026218.9	31	1	s3_r2	s3
ENST00000028008.9	131	13	s3_r2	s3
ENST00000029410.10	76	41	s3_r2	s3
ENST00000031146.8	161	1	s3_r2	s3
ENST00000033079.7	164	7	s3_r2	s3
ENST00000034275.12	30	2	s3_r2	s3
ENST00000035307.6	110	59	s3_r2	s3
ENST00000037243.7	26	19	s3_r2	s3
ENST00000037869.7	57	11	s3_r2	s3
ENST00000038176.8	144	13	s3_r2	s3
ENST00000039989.9	179	15	s3_r2	s3
ENST00000040584.6	129	5	s3_r2	s3
ENST00000040663.8	54	4	s3_r2	s3
ENST00000040738.10	178	7	s3_r2	s3
ENST00000040877.2	107	2	s3_r2	s3
ENST00000042381.9	99	2	s3_r2	s3
ENST00000044462.12	46	78	s3_r2	s3
ENST00000052569.10	55	26	s3_r2	s3
ENST00000052754.10	150	359	s3_r2	s3
ENST00000053468.4	69	25	s3_r2	s3
ENST00000053867.8	146	409	s3_r2	s3
ENST00000054650.8	24	7	s3_r2	s3
ENST00000054666.11	73	27	s3_r2	s3
ENST00000054950.4	81	179	s3_r2	s3
ENST00000055077.8	86	3	s3_r2	s3
ENST00000055335.11	112	6	s3_r2	s3
ENST00000056233.4	138	5	s3_r2	s3
ENST00000057513.8	140	1	s3_r2	s3
ENST00000060969.6	127	6	s3_r2	s3
ENST00000064724.8	88	28	s3_r2	s3
ENST00000064778.8	23	7	s3_r2	s3
ENST00000064780.7	25	2	s3_r2	s3
ENST00000066544.8	135	25	s3_r2	s3
ENST00000072516.7	141	2	s3_r2	s3
ENST00000072644.7	39	7	s3_r2	s3
ENST00000072869.9	49	12	s3_r2	s3
ENST00000074304.9	79	2	s3_r2	s3
ENST00000075120.12	84	14	s3_r2	s3
ENST00000078429.9	95	24	s3_r2	s3
ENST00000078527.9	21	1	s3_r2	s3
ENST00000080059.12	99	6	s3_r2	s3
ENST00000081029.8	151	39	s3_r2	s3
ENST00000083182.8	113	19	s3_r2	s3
ENST00000084795.9	53	21	s3_r2	s3
ENST00000085068.7	120	2	s3_r2	s3
ENST00000085079.11	55	5	s3_r2	s3
ENST00000155093.8	111	7	s3_r2	s3
ENST00000155674.9	93	7	s3_r2	s3
ENST00000155926.9	64	6	s3_r2	s3
ENST00000156084.8	64	4	s3_r2	s3
ENST00000156109.7	40	8	s3_r2	s3
ENST00000156471.10	99	5	s3_r2	s3
ENST00000156825.5	59	20	s3_r2	s3
ENST00000157600.8	37	31	s3_r2	s3
ENST00000157812.7	119	20	s3_r2	s3
ENST00000158009.6	254	1	s3_r2	s3
ENST00000158762.8	42	2	s3_r2	s3
ENST00000158771.9	98	37	s3_r2	s3
ENST00000159111.9	48	5	s3_r2	s3
ENST00000160262.10	31	4	s3_r2	s3
ENST00000160373.8	26	1	s3_r2	s3
ENST00000160740.7	136	3	s3_r2	s3
ENST00000160827.9	177	1	s3_r2	s3
ENST00000161863.9	143	4	s3_r2	s3
ENST00000162044.14	100	14	s3_r2	s3
ENST00000162330.10	52	9	s3_r2	s3
ENST00000162391.8	81	2	s3_r2	s3
ENST00000162749.7	143	60	s3_r2	s3
ENST00000163416.7	64	29	s3_r2	s3
ENST00000163678.11	26	2	s3_r2	s3
ENST00000164133.7	85	20	s3_r2	s3
ENST00000164227.10	21	12	s3_r2	s3
ENST00000164305.10	101	2	s3_r2	s3
ENST00000166139.9	138	143	s3_r2	s3
ENST00000166345.8	204	2	s3_r2	s3
ENST00000166534.8	115	29	s3_r2	s3
ENST00000167106.9	72	6	s3_r2	s3
ENST00000167218.9	88	1	s3_r2	s3
ENST00000168216.11	62	44	s3_r2	s3
ENST00000169293.10	114	1	s3_r2	s3
ENST00000169298.8	63	2	s3_r2	s3
ENST00000169551.11	91	17	s3_r2	s3
ENST00000170168.9	34	2	s3_r2	s3
ENST00000170447.12	180	17	s3_r2	s3
ENST00000170564.7	64	3	s3_r2	s3
ENST00000170630.6	59	9	s3_r2	s3
ENST00000171111.10	104	10	s3_r2	s3
ENST00000171887.8	117	1	s3_r2	s3
ENST00000173527.6	158	8	s3_r2	s3
ENST00000174618.5	12	4	s3_r2	s3
ENST00000174653.3	224	1	s3_r2	s3
ENST00000175091.5	71	363	s3_r2	s3
ENST00000175506.8	69	11	s3_r2	s3
ENST00000175756.10	57	3	s3_r2	s3
ENST00000176643.11	59	1	s3_r2	s3
ENST00000176763.10	85	6	s3_r2	s3
ENST00000177742.7	42	7	s3_r2	s3
ENST00000178638.8	112	29	s3_r2	s3
ENST00000179259.6	84	18	s3_r2	s3
ENST00000180173.10	64	2	s3_r2	s3
ENST00000181796.7	113	4	s3_r2	s3
ENST00000181839.10	142	3	s3_r2	s3
ENST00000182527.4	36	18	s3_r2	s3
ENST00000184266.3	46	135	s3_r2	s3
ENST00000184956.11	40	4	s3_r2	s3
ENST00000185150.9	56	79	s3_r2	s3
ENST00000186436.10	41	7	s3_r2	s3
ENST00000187762.7	37	1	s3_r2	s3
ENST00000187830.2	58	2	s3_r2	s3
ENST00000187879.12	50	2	s3_r2	s3
ENST00000188312.7	125	6	s3_r2	s3
ENST00000188376.9	46	50	s3_r2	s3
ENST00000188790.9	155	276	s3_r2	s3
ENST00000189444.11	57	5	s3_r2	s3
ENST00000191018.9	160	7	s3_r2	s3
ENST00000192788.6	25	1	s3_r2	s3
ENST00000193322.8	125	21	s3_r2	s3
ENST00000193403.10	42	17	s3_r2	s3
ENST00000194118.8	107	5	s3_r2	s3
ENST00000194155.7	103	7	s3_r2	s3
ENST00000194214.10	62	28	s3_r2	s3
ENST00000194530.8	51	7	s3_r2	s3
