contig	polya_length	coverage	run	condition
ENST00000000233.10	49	125	s3_r3	s3
ENST00000000412.8	56	30	s3_r3	s3
ENST00000000442.11	55	9	s3_r3	s3
ENST00000001008.6	61	8	s3_r3	s3
ENST00000001146.7	136	1	s3_r3	s3
ENST00000002125.9	75	7	s3_r3	s3
ENST00000002165.11	150	31	s3_r3	s3
ENST00000002829.8	136	3	s3_r3	s3
ENST00000003100.13	154	30	s3_r3	s3
ENST00000003302.8	39	2	s3_r3	s3
ENST00000003912.7	134	5	s3_r3	s3
ENST00000004531.14	115	2	s3_r3	s3
ENST00000004982.6	56	1	s3_r3	s3
ENST00000005082.13	99	1	s3_r3	s3
ENST00000005178.6	42	2	s3_r3	s3
ENST00000005180.9	112	5	s3_r3	s3
ENST00000005257.7	44	87	s3_r3	s3
ENST00000005259.9	44	14	s3_r3	s3
ENST00000005260.9	102	3	s3_r3	s3
ENST00000005286.8	130	11	s3_r3	s3
ENST00000005340.10	24	2	s3_r3	s3
ENST00000005374.10	77	1	s3_r3	s3
ENST00000005386.8	34	7	s3_r3	s3
ENST00000006275.8	99	3	s3_r3	s3
ENST00000006658.11	39	5	s3_r3	s3
ENST00000006777.11	62	33	s3_r3	s3
ENST00000007264.7	108	14	s3_r3	s3
ENST00000007390.3	67	67	s3_r3	s3
ENST00000007414.8	69	1	s3_r3	s3
ENST00000007516.8	56	88	s3_r3	s3
ENST00000007708.7	136	1	s3_r3	s3
ENST00000008180.13	132	7	s3_r3	s3
ENST00000008527.10	125	15	s3_r3	s3
ENST00000009041.12	54	56	s3_r3	s3
ENST00000009180.10	87	16	s3_r3	s3
ENST00000009589.8	59	433	s3_r3	s3
ENST00000010132.6	48	8	s3_r3	s3
ENST00000010404.6	151	3	s3_r3	s3
ENST00000011473.6	40	4	s3_r3	s3
ENST00000011619.6	141	18	s3_r3	s3
ENST00000011691.6	46	12	s3_r3	s3
ENST00000011898.10	83	5	s3_r3	s3
ENST00000012049.10	223	4	s3_r3	s3
ENST00000012134.7	144	7	s3_r3	s3
ENST00000012443.9	56	12	s3_r3	s3
ENST00000013070.11	73	1	s3_r3	s3
ENST00000013125.9	64	2	s3_r3	s3
ENST00000013222.5	140	1	s3_r3	s3
ENST00000013807.9	60	15	s3_r3	s3
ENST00000014914.6	86	10	s3_r3	s3
ENST00000014930.9	72	6	s3_r3	s3
ENST00000014935.7	46	6	s3_r3	s3
ENST00000016171.6	111	8	s3_r3	s3
ENST00000016946.8	19	7	s3_r3	s3
ENST00000017003.7	48	3	s3_r3	s3
ENST00000019019.6	115	2	s3_r3	s3
ENST00000019317.8	50	8	s3_r3	s3
ENST00000020945.4	21	18	s3_r3	s3
ENST00000022615.9	50	42	s3_r3	s3
ENST00000023939.8	76	10	s3_r3	s3
ENST00000025008.10	70	17	s3_r3	s3
ENST00000025301.4	77	7	s3_r3	s3
ENST00000026218.9	74	4	s3_r3	s3
ENST00000028008.9	96	13	s3_r3	s3
ENST00000029410.10	63	65	s3_r3	s3
ENST00000031146.8	146	3	s3_r3	s3
ENST00000033079.7	54	7	s3_r3	s3
ENST00000034275.12	45	2	s3_r3	s3
ENST00000035307.6	68	36	s3_r3	s3
ENST00000037243.7	92	32	s3_r3	s3
ENST00000037869.7	49	14	s3_r3	s3
ENST00000038176.8	23	15	s3_r3	s3
ENST00000039989.9	130	14	s3_r3	s3
ENST00000040584.6	138	8	s3_r3	s3
ENST00000040663.8	29	1	s3_r3	s3
ENST00000040738.10	67	7	s3_r3	s3
ENST00000042381.9	177	1	s3_r3	s3
ENST00000044462.12	56	91	s3_r3	s3
ENST00000046640.9	28	3	s3_r3	s3
ENST00000052569.10	89	39	s3_r3	s3
ENST00000052754.10	160	680	s3_r3	s3
ENST00000053468.4	107	36	s3_r3	s3
ENST00000053867.8	148	423	s3_r3	s3
ENST00000054650.8	147	9	s3_r3	s3
ENST00000054666.11	63	45	s3_r3	s3
ENST00000054950.4	130	258	s3_r3	s3
ENST00000055077.8	64	11	s3_r3	s3
ENST00000056233.4	71	4	s3_r3	s3
ENST00000060969.6	54	2	s3_r3	s3
ENST00000064724.8	95	37	s3_r3	s3
ENST00000064778.8	37	11	s3_r3	s3
ENST00000064780.7	45	4	s3_r3	s3
ENST00000066544.8	87	45	s3_r3	s3
ENST00000070846.11	71	2	s3_r3	s3
ENST00000072516.7	212	2	s3_r3	s3
ENST00000072644.7	60	7	s3_r3	s3
ENST00000072869.9	33	9	s3_r3	s3
ENST00000074304.9	87	1	s3_r3	s3
ENST00000075120.12	46	32	s3_r3	s3
ENST00000075322.11	196	1	s3_r3	s3
ENST00000075430.11	39	1	s3_r3	s3
ENST00000078429.9	52	4	s3_r3	s3
ENST00000078527.9	70	1	s3_r3	s3
ENST00000080059.12	101	3	s3_r3	s3
ENST00000081029.8	47	49	s3_r3	s3
ENST00000083182.8	102	15	s3_r3	s3
ENST00000084795.9	55	18	s3_r3	s3
ENST00000085068.7	52	1	s3_r3	s3
ENST00000085079.11	73	3	s3_r3	s3
ENST00000155093.8	189	7	s3_r3	s3
ENST00000155674.9	53	5	s3_r3	s3
ENST00000155926.9	39	20	s3_r3	s3
ENST00000156084.8	138	4	s3_r3	s3
ENST00000156109.7	74	13	s3_r3	s3
ENST00000156471.10	170	7	s3_r3	s3
ENST00000156825.5	109	9	s3_r3	s3
ENST00000157600.8	59	52	s3_r3	s3
ENST00000157812.7	138	31	s3_r3	s3
ENST00000158771.9	91	53	s3_r3	s3
ENST00000159111.9	117	3	s3_r3	s3
ENST00000159647.9	89	1	s3_r3	s3
ENST00000160262.10	50	9	s3_r3	s3
ENST00000160827.9	102	1	s3_r3	s3
ENST00000161863.9	101	5	s3_r3	s3
ENST00000162044.14	67	6	s3_r3	s3
ENST00000162330.10	92	3	s3_r3	s3
ENST00000162391.8	66	2	s3_r3	s3
ENST00000162749.7	102	90	s3_r3	s3
ENST00000163416.7	55	51	s3_r3	s3
ENST00000163678.11	70	4	s3_r3	s3
ENST00000164024.5	30	1	s3_r3	s3
ENST00000164133.7	62	15	s3_r3	s3
ENST00000164227.10	41	9	s3_r3	s3
ENST00000164305.10	83	7	s3_r3	s3
ENST00000165698.9	114	1	s3_r3	s3
ENST00000166139.9	128	153	s3_r3	s3
ENST00000166345.8	106	3	s3_r3	s3
ENST00000166534.8	108	28	s3_r3	s3
ENST00000167825.5	127	1	s3_r3	s3
ENST00000168216.11	79	30	s3_r3	s3
ENST00000169551.11	49	12	s3_r3	s3
ENST00000170168.9	28	2	s3_r3	s3
ENST00000170447.12	52	27	s3_r3	s3
ENST00000170564.7	109	2	s3_r3	s3
ENST00000170630.6	186	5	s3_r3	s3
ENST00000171111.10	83	16	s3_r3	s3
ENST00000171887.8	96	3	s3_r3	s3
ENST00000173527.6	152	7	s3_r3	s3
ENST00000173898.12	99	3	s3_r3	s3
ENST00000174618.5	37	2	s3_r3	s3
ENST00000175091.5	79	505	s3_r3	s3
ENST00000175506.8	145	12	s3_r3	s3
ENST00000175756.10	90	3	s3_r3	s3
ENST00000176643.11	188	7	s3_r3	s3
ENST00000176763.10	111	6	s3_r3	s3
ENST00000177742.7	118	17	s3_r3	s3
ENST00000178638.8	120	36	s3_r3	s3
ENST00000178640.10	36	6	s3_r3	s3
ENST00000179259.6	72	21	s3_r3	s3
ENST00000180173.10	152	2	s3_r3	s3
ENST00000181796.7	152	10	s3_r3	s3
ENST00000181839.10	61	9	s3_r3	s3
ENST00000182527.4	33	21	s3_r3	s3
ENST00000184266.3	59	176	s3_r3	s3
ENST00000184956.11	75	7	s3_r3	s3
ENST00000185150.9	99	93	s3_r3	s3
ENST00000186436.10	111	10	s3_r3	s3
ENST00000187762.7	36	2	s3_r3	s3
ENST00000187830.2	55	4	s3_r3	s3
ENST00000188312.7	70	14	s3_r3	s3
ENST00000188376.9	56	37	s3_r3	s3
ENST00000188790.9	151	367	s3_r3	s3
ENST00000189444.11	56	1	s3_r3	s3
ENST00000190983.5	127	2	s3_r3	s3
ENST00000191018.9	137	6	s3_r3	s3
ENST00000191063.8	33	1	s3_r3	s3
