contig	polya_length	coverage	run	condition
ENST00000000233.10	58	109	s4_r1	s4
ENST00000000412.8	51	64	s4_r1	s4
ENST00000000442.11	39	12	s4_r1	s4
ENST00000001008.6	46	38	s4_r1	s4
ENST00000002125.9	174	7	s4_r1	s4
ENST00000002165.11	138	55	s4_r1	s4
ENST00000002829.8	120	7	s4_r1	s4
ENST00000003100.13	95	151	s4_r1	s4
ENST00000003302.8	81	3	s4_r1	s4
ENST00000003912.7	96	9	s4_r1	s4
ENST00000004531.14	69	5	s4_r1	s4
ENST00000004982.6	47	7	s4_r1	s4
ENST00000005082.13	16	2	s4_r1	s4
ENST00000005180.9	61	2	s4_r1	s4
ENST00000005257.7	52	180	s4_r1	s4
ENST00000005259.9	58	24	s4_r1	s4
ENST00000005260.9	61	1	s4_r1	s4
ENST00000005286.8	147	149	s4_r1	s4
ENST00000005340.10	142	16	s4_r1	s4
ENST00000005386.8	105	10	s4_r1	s4
ENST00000006275.8	49	3	s4_r1	s4
ENST00000006658.11	74	9	s4_r1	s4
ENST00000006777.11	53	28	s4_r1	s4
ENST00000007264.7	165	20	s4_r1	s4
ENST00000007390.3	50	86	s4_r1	s4
ENST00000007516.8	44	84	s4_r1	s4
ENST00000008180.13	55	9	s4_r1	s4
ENST00000008527.10	151	16	s4_r1	s4
ENST00000009041.12	47	64	s4_r1	s4
ENST00000009180.10	87	15	s4_r1	s4
ENST00000009589.8	56	312	s4_r1	s4
ENST00000010132.6	21	7	s4_r1	s4
ENST00000010404.6	55	2	s4_r1	s4
ENST00000011473.6	113	7	s4_r1	s4
ENST00000011619.6	145	22	s4_r1	s4
ENST00000011691.6	17	9	s4_r1	s4
ENST00000011898.10	152	6	s4_r1	s4
ENST00000012049.10	125	5	s4_r1	s4
ENST00000012134.7	77	19	s4_r1	s4
ENST00000012443.9	65	24	s4_r1	s4
ENST00000013070.11	82	4	s4_r1	s4
ENST00000013125.9	34	9	s4_r1	s4
ENST00000013807.9	91	25	s4_r1	s4
ENST00000014914.6	101	18	s4_r1	s4
ENST00000014930.9	38	17	s4_r1	s4
ENST00000014935.7	126	2	s4_r1	s4
ENST00000016171.6	67	10	s4_r1	s4
ENST00000016946.8	25	8	s4_r1	s4
ENST00000017003.7	114	12	s4_r1	s4
ENST00000019317.8	57	10	s4_r1	s4
ENST00000020673.6	52	1	s4_r1	s4
ENST00000020945.4	22	26	s4_r1	s4
ENST00000022615.9	113	57	s4_r1	s4
ENST00000023939.8	64	15	s4_r1	s4
ENST00000025008.10	45	15	s4_r1	s4
ENST00000025301.4	132	18	s4_r1	s4
ENST00000026218.9	102	11	s4_r1	s4
ENST00000028008.9	47	10	s4_r1	s4
ENST00000029410.10	118	74	s4_r1	s4
ENST00000031146.8	94	5	s4_r1	s4
ENST00000033079.7	139	16	s4_r1	s4
ENST00000034275.12	35	1	s4_r1	s4
ENST00000035307.6	113	135	s4_r1	s4
ENST00000037243.7	62	59	s4_r1	s4
ENST00000037869.7	74	14	s4_r1	s4
ENST00000038176.8	57	14	s4_r1	s4
ENST00000039989.9	157	24	s4_r1	s4
ENST00000040584.6	65	6	s4_r1	s4
ENST00000040663.8	98	9	s4_r1	s4
ENST00000040738.10	80	13	s4_r1	s4
ENST00000040877.2	140	11	s4_r1	s4
ENST00000042381.9	31	6	s4_r1	s4
ENST00000043402.8	200	1	s4_r1	s4
ENST00000044462.12	57	119	s4_r1	s4
ENST00000046640.9	53	5	s4_r1	s4
ENST00000052569.10	77	31	s4_r1	s4
ENST00000052754.10	161	195	s4_r1	s4
ENST00000053468.4	48	59	s4_r1	s4
ENST00000053867.8	153	372	s4_r1	s4
ENST00000054650.8	54	17	s4_r1	s4
ENST00000054666.11	76	67	s4_r1	s4
ENST00000054950.4	136	477	s4_r1	s4
ENST00000055077.8	81	3	s4_r1	s4
ENST00000056233.4	138	19	s4_r1	s4
ENST00000060969.6	40	4	s4_r1	s4
ENST00000064724.8	61	157	s4_r1	s4
ENST00000064778.8	123	13	s4_r1	s4
ENST00000064780.7	45	17	s4_r1	s4
ENST00000066544.8	34	54	s4_r1	s4
ENST00000072516.7	22	2	s4_r1	s4
ENST00000072644.7	62	3	s4_r1	s4
ENST00000072869.9	50	16	s4_r1	s4
ENST00000074304.9	113	3	s4_r1	s4
ENST00000075120.12	61	41	s4_r1	s4
ENST00000075430.11	156	6	s4_r1	s4
ENST00000078429.9	69	31	s4_r1	s4
ENST00000080059.12	52	11	s4_r1	s4
ENST00000081029.8	105	52	s4_r1	s4
ENST00000082468.11	25	2	s4_r1	s4
ENST00000083182.8	110	40	s4_r1	s4
ENST00000084795.9	71	23	s4_r1	s4
ENST00000084798.9	139	1	s4_r1	s4
ENST00000085068.7	76	5	s4_r1	s4
ENST00000085079.11	101	11	s4_r1	s4
ENST00000155093.8	31	10	s4_r1	s4
ENST00000155674.9	38	11	s4_r1	s4
ENST00000155926.9	48	17	s4_r1	s4
ENST00000156084.8	77	5	s4_r1	s4
ENST00000156109.7	46	15	s4_r1	s4
ENST00000156471.10	129	14	s4_r1	s4
ENST00000156825.5	110	28	s4_r1	s4
ENST00000157600.8	28	14	s4_r1	s4
ENST00000157812.7	41	33	s4_r1	s4
ENST00000158762.8	68	1	s4_r1	s4
ENST00000158771.9	61	68	s4_r1	s4
ENST00000159087.7	67	1	s4_r1	s4
ENST00000159111.9	53	21	s4_r1	s4
ENST00000160262.10	110	1	s4_r1	s4
ENST00000160740.7	82	3	s4_r1	s4
ENST00000160827.9	183	3	s4_r1	s4
ENST00000161863.9	122	12	s4_r1	s4
ENST00000162044.14	46	15	s4_r1	s4
ENST00000162330.10	48	10	s4_r1	s4
ENST00000162391.8	67	8	s4_r1	s4
ENST00000162749.7	138	99	s4_r1	s4
ENST00000163416.7	69	43	s4_r1	s4
ENST00000163678.11	128	3	s4_r1	s4
ENST00000164024.5	82	1	s4_r1	s4
ENST00000164133.7	147	25	s4_r1	s4
ENST00000164227.10	17	11	s4_r1	s4
ENST00000164305.10	191	9	s4_r1	s4
ENST00000166139.9	127	103	s4_r1	s4
ENST00000166345.8	161	2	s4_r1	s4
ENST00000166534.8	81	42	s4_r1	s4
ENST00000167106.9	82	11	s4_r1	s4
ENST00000168216.11	52	41	s4_r1	s4
ENST00000169298.8	99	2	s4_r1	s4
ENST00000169551.11	41	16	s4_r1	s4
ENST00000170168.9	36	7	s4_r1	s4
ENST00000170447.12	61	24	s4_r1	s4
ENST00000170564.7	14	4	s4_r1	s4
ENST00000170630.6	145	6	s4_r1	s4
ENST00000171111.10	130	18	s4_r1	s4
ENST00000171887.8	47	18	s4_r1	s4
ENST00000173527.6	127	16	s4_r1	s4
ENST00000173898.12	100	3	s4_r1	s4
ENST00000174618.5	95	8	s4_r1	s4
ENST00000175091.5	60	401	s4_r1	s4
ENST00000175506.8	24	14	s4_r1	s4
ENST00000175756.10	93	5	s4_r1	s4
ENST00000176643.11	86	8	s4_r1	s4
ENST00000176763.10	52	9	s4_r1	s4
ENST00000177742.7	51	8	s4_r1	s4
ENST00000178638.8	120	118	s4_r1	s4
ENST00000178640.10	36	13	s4_r1	s4
ENST00000179259.6	150	24	s4_r1	s4
ENST00000180173.10	29	2	s4_r1	s4
ENST00000181796.7	167	16	s4_r1	s4
ENST00000181839.10	52	15	s4_r1	s4
ENST00000182377.8	223	1	s4_r1	s4
ENST00000182527.4	34	37	s4_r1	s4
ENST00000184266.3	53	126	s4_r1	s4
ENST00000184956.11	31	10	s4_r1	s4
ENST00000185150.9	110	94	s4_r1	s4
ENST00000186436.10	97	14	s4_r1	s4
ENST00000187762.7	130	3	s4_r1	s4
ENST00000187830.2	111	1	s4_r1	s4
ENST00000187879.12	152	1	s4_r1	s4
ENST00000188312.7	96	16	s4_r1	s4
ENST00000188376.9	45	48	s4_r1	s4
ENST00000188790.9	173	293	s4_r1	s4
ENST00000189444.11	36	6	s4_r1	s4
ENST00000190611.9	43	2	s4_r1	s4
ENST00000191018.9	169	11	s4_r1	s4
ENST00000192788.6	66	2	s4_r1	s4
ENST00000193322.8	108	46	s4_r1	s4
ENST00000193403.10	37	17	s4_r1	s4
ENST00000194118.8	64	5	s4_r1	s4
ENST00000194152.4	27	1	s4_r1	s4
ENST00000194155.7	137	12	s4_r1	s4
ENST00000194214.10	47	33	s4_r1	s4
ENST00000194530.8	47	11	s4_r1	s4
ENST00000196061.5	146	730	s4_r1	s4
ENST00000196371.10	69	23	s4_r1	s4
ENST00000196482.4	16	2	s4_r1	s4
ENST00000196489.4	15	4	s4_r1	s4
ENST00000196551.8	55	582	s4_r1	s4
ENST00000197268.13	40	1	s4_r1	s4
ENST00000198536.7	98	1	s4_r1	s4
ENST00000198767.11	170	11	s4_r1	s4
ENST00000198939.6	116	2	s4_r1	s4
ENST00000199320.9	111	41	s4_r1	s4
ENST00000199389.11	54	90	s4_r1	s4
ENST00000199448.9	77	96	s4_r1	s4
ENST00000199706.13	86	36	s4_r1	s4
ENST00000199814.9	30	33	s4_r1	s4
ENST00000200135.8	52	10	s4_r1	s4
ENST00000200453.6	169	82	s4_r1	s4
ENST00000200457.9	46	61	s4_r1	s4
ENST00000200557.11	79	1	s4_r1	s4
ENST00000200639.9	147	85	s4_r1	s4
ENST00000200652.4	151	12	s4_r1	s4
ENST00000200691.5	60	59	s4_r1	s4
ENST00000201015.8	159	1	s4_r1	s4
ENST00000202017.6	127	12	s4_r1	s4
ENST00000202028.9	77	2	s4_r1	s4
ENST00000202556.14	220	3	s4_r1	s4
ENST00000202677.12	73	1	s4_r1	s4
ENST00000202773.14	58	1729	s4_r1	s4
ENST00000202816.5	108	7	s4_r1	s4
ENST00000202834.11	63	98	s4_r1	s4
ENST00000202917.10	102	1	s4_r1	s4
ENST00000203001.7	120	19	s4_r1	s4
ENST00000203407.6	49	103	s4_r1	s4
ENST00000203556.9	63	1	s4_r1	s4
ENST00000203630.10	105	198	s4_r1	s4
ENST00000203664.10	59	2	s4_r1	s4
ENST00000204005.13	40	1	s4_r1	s4
ENST00000204517.11	83	4	s4_r1	s4
ENST00000204549.9	109	8	s4_r1	s4
ENST00000204566.7	68	49	s4_r1	s4
ENST00000204679.9	144	95	s4_r1	s4
ENST00000204726.8	97	20	s4_r1	s4
ENST00000204961.5	13	11	s4_r1	s4
ENST00000205061.9	162	31	s4_r1	s4
ENST00000205194.5	45	23	s4_r1	s4
ENST00000205402.10	67	35	s4_r1	s4
ENST00000205636.4	101	102	s4_r1	s4
ENST00000206020.8	36	57	s4_r1	s4
ENST00000206262.2	77	7	s4_r1	s4
ENST00000206380.8	39	17	s4_r1	s4
ENST00000206423.8	131	676	s4_r1	s4
ENST00000206451.11	56	30	s4_r1	s4
ENST00000206474.11	87	2	s4_r1	s4
ENST00000206542.9	48	15	s4_r1	s4
ENST00000206595.11	38	12	s4_r1	s4
ENST00000207157.7	58	1	s4_r1	s4
ENST00000207636.9	48	1	s4_r1	s4
ENST00000207870.8	64	1	s4_r1	s4
ENST00000209728.9	121	1	s4_r1	s4
ENST00000209873.9	34	7	s4_r1	s4
ENST00000209875.9	108	21	s4_r1	s4
ENST00000209884.5	117	3	s4_r1	s4
ENST00000210060.12	43	42	s4_r1	s4
ENST00000210313.8	27	23	s4_r1	s4
ENST00000210444.6	55	84	s4_r1	s4
ENST00000211314.5	138	25	s4_r1	s4
ENST00000211372.9	45	546	s4_r1	s4
ENST00000211379.9	110	4	s4_r1	s4
ENST00000211402.10	60	4	s4_r1	s4
ENST00000211936.10	209	1	s4_r1	s4
ENST00000211998.10	25	9	s4_r1	s4
ENST00000212015.11	62	3	s4_r1	s4
ENST00000212355.9	123	2	s4_r1	s4
ENST00000214869.7	115	76	s4_r1	s4
ENST00000214893.9	189	6	s4_r1	s4
ENST00000215057.7	55	4	s4_r1	s4
ENST00000215061.9	74	1	s4_r1	s4
ENST00000215071.9	50	126	s4_r1	s4
ENST00000215115.5	46	71	s4_r1	s4
ENST00000215375.7	57	12	s4_r1	s4
ENST00000215555.7	97	20	s4_r1	s4
ENST00000215565.3	49	100	s4_r1	s4
ENST00000215567.10	64	41	s4_r1	s4
ENST00000215570.8	102	81	s4_r1	s4
ENST00000215574.9	105	30	s4_r1	s4
ENST00000215587.11	26	1	s4_r1	s4
ENST00000215631.9	29	11	s4_r1	s4
ENST00000215659.13	100	15	s4_r1	s4
ENST00000215727.10	42	1	s4_r1	s4
