contig	polya_length	coverage	run	condition
ENST00000000233.10	72	120	s4_r3	s4
ENST00000000412.8	30	58	s4_r3	s4
ENST00000000442.11	88	10	s4_r3	s4
ENST00000001008.6	84	26	s4_r3	s4
ENST00000002125.9	42	3	s4_r3	s4
ENST00000002165.11	106	54	s4_r3	s4
ENST00000002829.8	204	3	s4_r3	s4
ENST00000003100.13	53	90	s4_r3	s4
ENST00000003302.8	32	3	s4_r3	s4
ENST00000003912.7	78	3	s4_r3	s4
ENST00000004531.14	65	7	s4_r3	s4
ENST00000004982.6	71	2	s4_r3	s4
ENST00000005180.9	50	3	s4_r3	s4
ENST00000005257.7	35	208	s4_r3	s4
ENST00000005259.9	94	35	s4_r3	s4
ENST00000005260.9	50	2	s4_r3	s4
ENST00000005286.8	139	24	s4_r3	s4
ENST00000005340.10	186	4	s4_r3	s4
ENST00000005374.10	132	1	s4_r3	s4
ENST00000005386.8	118	8	s4_r3	s4
ENST00000006275.8	28	5	s4_r3	s4
ENST00000006658.11	34	7	s4_r3	s4
ENST00000006777.11	85	17	s4_r3	s4
ENST00000007264.7	92	7	s4_r3	s4
ENST00000007390.3	64	103	s4_r3	s4
ENST00000007516.8	75	131	s4_r3	s4
ENST00000008180.13	51	9	s4_r3	s4
ENST00000008527.10	166	13	s4_r3	s4
ENST00000009041.12	43	66	s4_r3	s4
ENST00000009180.10	96	31	s4_r3	s4
ENST00000009589.8	55	555	s4_r3	s4
ENST00000010132.6	80	4	s4_r3	s4
ENST00000010404.6	41	4	s4_r3	s4
ENST00000011473.6	81	9	s4_r3	s4
ENST00000011619.6	55	6	s4_r3	s4
ENST00000011691.6	27	17	s4_r3	s4
ENST00000011898.10	150	4	s4_r3	s4
ENST00000012049.10	110	7	s4_r3	s4
ENST00000012134.7	40	7	s4_r3	s4
ENST00000012443.9	85	11	s4_r3	s4
ENST00000013070.11	68	4	s4_r3	s4
ENST00000013125.9	135	5	s4_r3	s4
ENST00000013807.9	55	37	s4_r3	s4
ENST00000014914.6	93	18	s4_r3	s4
ENST00000014930.9	85	17	s4_r3	s4
ENST00000014935.7	76	2	s4_r3	s4
ENST00000016171.6	31	8	s4_r3	s4
ENST00000016946.8	39	3	s4_r3	s4
ENST00000017003.7	120	2	s4_r3	s4
ENST00000019317.8	44	9	s4_r3	s4
ENST00000020945.4	27	17	s4_r3	s4
ENST00000022615.9	77	87	s4_r3	s4
ENST00000023939.8	43	16	s4_r3	s4
ENST00000025008.10	29	16	s4_r3	s4
ENST00000025301.4	44	8	s4_r3	s4
ENST00000026218.9	136	3	s4_r3	s4
ENST00000028008.9	128	7	s4_r3	s4
ENST00000029410.10	80	81	s4_r3	s4
ENST00000031146.8	127	4	s4_r3	s4
ENST00000033079.7	122	6	s4_r3	s4
ENST00000034275.12	96	1	s4_r3	s4
