transcript_id	C4_R1	C4_R2	C4_R3	C3_R1	C3_R2	C3_R3	transcript_length	gene_id	HGNC symbol
ENST00000307407	14782.770623540704	9488.912908047469	10466.217301495126	9758.785573350875	13277.817120722168	15401.14870129032	1642	ENSG00000169429	CXCL8
ENST00000229239	10835.750031578771	13568.01176400663	15188.258247565689	8763.35389373767	10235.23288653021	9539.988607683932	1285	ENSG00000111640	GAPDH
ENST00000218388	7933.107702485022	11844.355852395174	9957.396048267256	7501.288728513787	8851.309266827644	9356.334142082556	769	ENSG00000102265	TIMP1
ENST00000379060	7560.673558868686	8496.10471374764	9989.969594279635	7762.452809291426	8349.615624173442	9073.67844111794	764	ENSG00000133112	TPT1
ENST00000331825	6662.143631962142	9265.476030616355	9769.817352264929	5384.629058127468	7218.245266759384	7185.480966653801	871	ENSG00000087086	FTL
ENST00000215909	5293.513265036378	6648.072609280443	7891.783940792525	4036.4207667832115	5380.408351322066	5710.506039792758	528	ENSG00000100097	LGALS1
ENST00000233143	5027.8609388205305	6989.281633928943	8133.277471573965	4330.40127655909	5187.580522682866	5699.0276356926715	461	ENSG00000034510	TMSB10
ENST00000223095	4714.026573045926	4333.3546130359455	3630.2655417935443	5551.445905535175	4506.710579080741	4638.710056947232	3156	ENSG00000106366	SERPINE1
ENST00000520687	4661.937881631054	5166.56503774212	3489.8623262229403	6419.713922780209	9453.682926204961	9575.8586204967	1598	ENSG00000113140	SPARC
ENST00000501597	4577.293758081886	5123.638741092794	5908.167311211028	4122.563892903585	5708.045015912562	4941.452965087	469	ENSG00000229117	RPL41
ENST00000620463	4095.4733624943196	2653.7256723468795	2441.89272520395	5093.383250768111	3337.798520515687	2714.6425696703263	4523	ENSG00000164692	COL1A2
ENST00000567815	4065.5223649307673	5010.269290967645	5758.7782898439045	3995.4002305354143	4759.263841369248	4977.3229778997675	712	ENSG00000167526	RPL13
ENST00000354785	4018.642542657383	2950.9077260729923	2578.9262636008593	5325.832956172292	3685.9124766430896	3830.917368403684	8390	ENSG00000115414	FN1
ENST00000230050	3517.288887789239	4671.261614865266	5393.729929360335	3564.6845999335474	4626.161446379359	4888.365346124102	503	ENSG00000112306	RPS12
ENST00000508487	3452.1780235206493	1939.3880691311495	2484.575302737414	634.4509606325914	1354.9141233586172	1539.5409499240272	1115	ENSG00000081041	CXCL2
ENST00000396861	3381.8582901105715	3580.4934102631264	3047.3113907443953	2247.925386379268	2513.587536155218	2195.244784141437	1348	ENSG00000111640	GAPDH
ENST00000409733	3195.6412183024036	3992.1455883874455	4562.542893182357	3269.3367389494097	4452.104468315658	4511.012811333777	825	ENSG00000071082	RPL31
ENST00000544301	3187.8279145901724	3539.7684621599174	3459.5352316596895	2462.5995260760715	2322.4661484774283	1896.8062775392023	2154	ENSG00000026025	VIM
ENST00000331523	3186.525697304802	3007.042113999036	3566.2416754933497	3129.8669157069003	2964.087949967152	3176.648334698785	2048	ENSG00000156508	EEF1A1
ENST00000224237	3169.5968725949674	3539.7684621599174	3459.5352316596895	2462.5995260760715	2322.4661484774283	1896.8062775392023	1868	ENSG00000026025	VIM
ENST00000455918	3148.761396029019	2997.136045541499	3542.6539352774876	3110.7239987912617	2904.362516317842	3036.037884472733	2079	ENSG00000156508	EEF1A1
ENST00000677236	3129.228136748442	2979.5252571725437	3523.5590979598855	3110.7239987912617	2904.362516317842	3036.037884472733	1823	ENSG00000156508	EEF1A1
ENST00000678702	3129.228136748442	2979.5252571725437	3523.5590979598855	3110.7239987912617	2904.362516317842	3036.037884472733	1821	ENSG00000156508	EEF1A1
ENST00000356303	3126.6237021776983	2990.5319999031403	3521.3126465107557	3121.6628084573413	2911.1882801634774	3064.7338947229473	1883	ENSG00000156508	EEF1A1
ENST00000676710	3126.6237021776983	2990.5319999031403	3521.3126465107557	3121.6628084573413	2911.1882801634774	3064.7338947229473	1790	ENSG00000156508	EEF1A1
ENST00000678508	3126.6237021776983	2990.5319999031403	3521.3126465107557	3121.6628084573413	2911.1882801634774	3064.7338947229473	1778	ENSG00000156508	EEF1A1
ENST00000335181	3070.628358906711	3098.3980786629877	2471.0965940426354	2115.2923191780583	2046.0227127291962	2034.5471267402336	2305	ENSG00000067225	PKM
ENST00000678703	3057.6061860529926	2957.51177171135	3411.236525503402	3057.397301669126	2914.6011620862955	3073.3426977980116	1731	ENSG00000156508	EEF1A1
ENST00000530022	3056.3039687676205	3757.7019682257346	4049.228737056227	3068.3361113352053	4172.248150644608	4533.969619533949	878	ENSG00000166441	RPL27A
ENST00000309311	2983.3798007867995	1755.5754655301835	1577.0089172890273	3016.3767654213293	2163.767139066406	1396.0608986729528	3158	ENSG00000167658	EEF2
ENST00000245857	2961.242106935479	3669.64802638096	4271.627430520065	3004.0706045469906	3873.6209823980616	4122.181872443365	588	ENSG00000125691	RPL23
ENST00000343262	2958.6376723647354	4125.327175427666	4136.840343572285	2502.252711115609	3987.9525268124535	3965.788616579694	945	ENSG00000140988	RPS2
ENST00000222247	2853.1580722496196	3182.0493234155238	3945.8919703962624	2644.4572367746373	3387.2853083965424	3381.8248079878213	634	ENSG00000105640	RPL18A
ENST00000226317	2845.344768537389	3753.2992711334955	3103.472676972637	1184.1261463530693	1424.8782027763798	1631.3681827247149	1537	ENSG00000124875	CXCL6
ENST00000443003	2784.140556124914	3194.1567404191806	3342.719756304947	2477.6403893669303	2766.1407984437255	2591.2497255944018	1032	ENSG00000168028	RPSA
ENST00000270625	2719.029691856324	3067.579199017318	3503.341034917718	2632.151075900299	3418.001245701903	3499.4784500137034	573	ENSG00000142534	RPS11
ENST00000297268	2670.847652297567	1715.951191700035	1710.6727785122425	4179.9926436505	5250.718838254994	4750.62449692307	5072	ENSG00000164692	COL1A2
ENST00000356005	2620.0611781680664	2578.879821778821	2164.4559712364357	4028.216659533652	4061.329488153034	3816.5693632785765	7846	ENSG00000115414	FN1
ENST00000648437	2571.8791386093103	3233.7810142493286	3562.871998319654	2437.9872043273936	3105.7225497640843	3393.3032120879075	588	ENSG00000124614	RPS10
ENST00000009589	2514.5815780529506	3269.0025909872384	4017.7784167684126	2716.926850812412	3999.8976135423154	4086.3118596305962	519	ENSG00000008988	RPS20
ENST00000651669	2511.9771434822073	3278.9086594447754	3572.981029840738	2182.292528382793	3496.4975299267085	3774.9601484157647	352	ENSG00000177954	RPS27
ENST00000300026	2491.1416669162586	2012.032571153088	2108.294685008194	2499.518008699089	2337.824117130108	2421.9432651181346	893	ENSG00000166794	PPIB
ENST00000648839	2472.9106249210536	3155.6331408620918	3530.298452307274	2425.6810434530544	3182.5123930274826	3397.6076136254396	528	ENSG00000161970	RPL26
ENST00000442011	2439.052975501386	2457.805651742257	1263.6289401354384	2924.7642344679157	4474.288200813973	3795.047355590915	2712	ENSG00000120708	TGFBI
ENST00000467825	2274.973597544539	2673.537809261953	3000.135910312673	2085.2105925963406	2629.625521531019	2901.1666362967226	660	ENSG00000142541	RPL13A
