contig	polya_length	coverage	run	condition
ENST00000000233.10	51	122	s4_r2	s4
ENST00000000412.8	67	54	s4_r2	s4
ENST00000000442.11	50	5	s4_r2	s4
ENST00000001008.6	33	38	s4_r2	s4
ENST00000002125.9	149	7	s4_r2	s4
ENST00000002165.11	68	46	s4_r2	s4
ENST00000002501.11	19	2	s4_r2	s4
ENST00000002829.8	186	3	s4_r2	s4
ENST00000003100.13	50	94	s4_r2	s4
ENST00000003302.8	35	5	s4_r2	s4
ENST00000003583.12	52	2	s4_r2	s4
ENST00000003912.7	87	8	s4_r2	s4
ENST00000004531.14	91	8	s4_r2	s4
ENST00000004982.6	60	6	s4_r2	s4
ENST00000005178.6	7	1	s4_r2	s4
ENST00000005180.9	84	2	s4_r2	s4
ENST00000005257.7	38	225	s4_r2	s4
ENST00000005259.9	96	25	s4_r2	s4
ENST00000005260.9	110	1	s4_r2	s4
ENST00000005286.8	147	56	s4_r2	s4
ENST00000005340.10	117	4	s4_r2	s4
ENST00000005386.8	186	8	s4_r2	s4
ENST00000006275.8	47	4	s4_r2	s4
ENST00000006658.11	46	8	s4_r2	s4
ENST00000006777.11	56	14	s4_r2	s4
ENST00000007264.7	99	20	s4_r2	s4
ENST00000007390.3	59	98	s4_r2	s4
ENST00000007414.8	76	1	s4_r2	s4
ENST00000007516.8	91	80	s4_r2	s4
ENST00000007969.12	49	3	s4_r2	s4
ENST00000008180.13	104	11	s4_r2	s4
ENST00000008527.10	54	17	s4_r2	s4
ENST00000009041.12	48	62	s4_r2	s4
ENST00000009180.10	76	21	s4_r2	s4
ENST00000009589.8	55	450	s4_r2	s4
ENST00000010132.6	62	6	s4_r2	s4
ENST00000010404.6	87	5	s4_r2	s4
ENST00000011473.6	105	11	s4_r2	s4
ENST00000011619.6	27	17	s4_r2	s4
ENST00000011691.6	21	28	s4_r2	s4
ENST00000011898.10	87	8	s4_r2	s4
ENST00000012049.10	133	8	s4_r2	s4
ENST00000012134.7	44	3	s4_r2	s4
ENST00000012443.9	101	11	s4_r2	s4
ENST00000013070.11	76	2	s4_r2	s4
ENST00000013125.9	46	9	s4_r2	s4
ENST00000013807.9	71	25	s4_r2	s4
ENST00000014914.6	76	16	s4_r2	s4
ENST00000014930.9	23	17	s4_r2	s4
ENST00000014935.7	18	2	s4_r2	s4
ENST00000016171.6	41	12	s4_r2	s4
ENST00000016946.8	72	6	s4_r2	s4
ENST00000017003.7	125	3	s4_r2	s4
ENST00000019019.6	42	3	s4_r2	s4
ENST00000019317.8	39	10	s4_r2	s4
ENST00000020945.4	28	30	s4_r2	s4
ENST00000022615.9	44	80	s4_r2	s4
ENST00000023939.8	136	14	s4_r2	s4
ENST00000025008.10	77	10	s4_r2	s4
ENST00000025301.4	108	8	s4_r2	s4
ENST00000026218.9	56	8	s4_r2	s4
ENST00000028008.9	57	12	s4_r2	s4
