contig	polya_length	coverage	run	condition
ENST00000000233.10	44	35	s1_r2	s1
ENST00000000412.8	76	27	s1_r2	s1
ENST00000000442.11	65	1	s1_r2	s1
ENST00000001008.6	58	16	s1_r2	s1
ENST00000002125.9	22	2	s1_r2	s1
ENST00000002165.11	130	18	s1_r2	s1
ENST00000002829.8	114	4	s1_r2	s1
ENST00000003100.13	101	40	s1_r2	s1
ENST00000003302.8	88	3	s1_r2	s1
ENST00000003912.7	215	1	s1_r2	s1
ENST00000004531.14	147	5	s1_r2	s1
ENST00000004982.6	91	2	s1_r2	s1
ENST00000005257.7	146	63	s1_r2	s1
ENST00000005259.9	117	4	s1_r2	s1
ENST00000005260.9	51	1	s1_r2	s1
ENST00000005286.8	145	68	s1_r2	s1
ENST00000005386.8	171	6	s1_r2	s1
ENST00000006658.11	132	5	s1_r2	s1
ENST00000006777.11	67	14	s1_r2	s1
ENST00000007264.7	123	10	s1_r2	s1
ENST00000007390.3	52	41	s1_r2	s1
ENST00000007414.8	54	3	s1_r2	s1
ENST00000007516.8	103	33	s1_r2	s1
ENST00000007969.12	124	1	s1_r2	s1
ENST00000008180.13	96	5	s1_r2	s1
ENST00000008527.10	235	6	s1_r2	s1
ENST00000009041.12	46	19	s1_r2	s1
ENST00000009180.10	159	5	s1_r2	s1
ENST00000009589.8	58	135	s1_r2	s1
ENST00000010132.6	57	4	s1_r2	s1
ENST00000011473.6	92	1	s1_r2	s1
ENST00000011619.6	138	13	s1_r2	s1
ENST00000011691.6	13	2	s1_r2	s1
ENST00000011898.10	166	4	s1_r2	s1
ENST00000012049.10	41	4	s1_r2	s1
ENST00000012134.7	101	4	s1_r2	s1
ENST00000012443.9	88	6	s1_r2	s1
ENST00000013070.11	126	2	s1_r2	s1
ENST00000013125.9	104	6	s1_r2	s1
ENST00000013807.9	66	8	s1_r2	s1
ENST00000014914.6	97	6	s1_r2	s1
ENST00000014930.9	42	8	s1_r2	s1
ENST00000014935.7	146	2	s1_r2	s1
ENST00000016171.6	114	3	s1_r2	s1
ENST00000016946.8	176	4	s1_r2	s1
ENST00000017003.7	93	3	s1_r2	s1
ENST00000019019.6	76	1	s1_r2	s1
ENST00000019317.8	104	10	s1_r2	s1
ENST00000020673.6	205	1	s1_r2	s1
ENST00000020945.4	24	9	s1_r2	s1
ENST00000022615.9	100	17	s1_r2	s1
ENST00000023939.8	71	5	s1_r2	s1
ENST00000025008.10	116	10	s1_r2	s1
ENST00000025301.4	21	8	s1_r2	s1
ENST00000026218.9	92	4	s1_r2	s1
ENST00000028008.9	132	4	s1_r2	s1
ENST00000029410.10	100	22	s1_r2	s1
ENST00000033079.7	196	4	s1_r2	s1
ENST00000035307.6	133	42	s1_r2	s1
ENST00000037243.7	50	18	s1_r2	s1
ENST00000037869.7	56	5	s1_r2	s1
ENST00000038176.8	86	9	s1_r2	s1
ENST00000039989.9	156	11	s1_r2	s1
ENST00000040584.6	48	1	s1_r2	s1
ENST00000040663.8	240	1	s1_r2	s1
ENST00000040738.10	75	1	s1_r2	s1
ENST00000040877.2	29	2	s1_r2	s1
ENST00000042381.9	161	2	s1_r2	s1
ENST00000044462.12	61	36	s1_r2	s1
ENST00000046640.9	40	2	s1_r2	s1
ENST00000052569.10	59	14	s1_r2	s1
ENST00000052754.10	142	129	s1_r2	s1
ENST00000053468.4	134	12	s1_r2	s1
ENST00000053867.8	158	151	s1_r2	s1
ENST00000054650.8	10	2	s1_r2	s1
ENST00000054666.11	61	30	s1_r2	s1
ENST00000054950.4	144	151	s1_r2	s1
ENST00000055077.8	85	2	s1_r2	s1
ENST00000055335.11	48	3	s1_r2	s1
ENST00000056233.4	88	2	s1_r2	s1
ENST00000060969.6	22	1	s1_r2	s1
ENST00000064724.8	100	15	s1_r2	s1
ENST00000064778.8	61	6	s1_r2	s1
ENST00000064780.7	85	7	s1_r2	s1
ENST00000066544.8	200	17	s1_r2	s1
ENST00000070846.11	138	1	s1_r2	s1
ENST00000072516.7	137	2	s1_r2	s1
ENST00000072644.7	38	5	s1_r2	s1
ENST00000072869.9	82	2	s1_r2	s1
ENST00000075120.12	43	15	s1_r2	s1
ENST00000075430.11	233	1	s1_r2	s1
ENST00000078429.9	100	27	s1_r2	s1
ENST00000080059.12	85	5	s1_r2	s1
ENST00000081029.8	81	13	s1_r2	s1
ENST00000082468.11	41	2	s1_r2	s1
ENST00000083182.8	140	7	s1_r2	s1
ENST00000084795.9	38	8	s1_r2	s1
ENST00000085068.7	144	1	s1_r2	s1
ENST00000085079.11	64	6	s1_r2	s1
ENST00000155093.8	344	4	s1_r2	s1
ENST00000155674.9	121	1	s1_r2	s1
ENST00000155926.9	178	10	s1_r2	s1
ENST00000156084.8	141	1	s1_r2	s1
ENST00000156109.7	93	6	s1_r2	s1
ENST00000156471.10	108	5	s1_r2	s1
ENST00000156825.5	74	14	s1_r2	s1
ENST00000157600.8	33	5	s1_r2	s1
ENST00000157812.7	35	15	s1_r2	s1
ENST00000158762.8	63	1	s1_r2	s1
ENST00000158771.9	110	18	s1_r2	s1
ENST00000159111.9	50	10	s1_r2	s1
ENST00000160262.10	32	5	s1_r2	s1
ENST00000160740.7	30	1	s1_r2	s1
ENST00000160827.9	106	2	s1_r2	s1
ENST00000161863.9	19	2	s1_r2	s1
ENST00000162044.14	60	5	s1_r2	s1
ENST00000162330.10	19	3	s1_r2	s1
ENST00000162391.8	44	1	s1_r2	s1
ENST00000162749.7	120	24	s1_r2	s1
ENST00000163416.7	46	16	s1_r2	s1
ENST00000163678.11	220	2	s1_r2	s1
ENST00000164024.5	232	1	s1_r2	s1
ENST00000164133.7	45	10	s1_r2	s1
ENST00000164227.10	16	7	s1_r2	s1
ENST00000164305.10	147	7	s1_r2	s1
ENST00000166139.9	142	89	s1_r2	s1
ENST00000166345.8	114	2	s1_r2	s1
ENST00000166534.8	144	11	s1_r2	s1
ENST00000167106.9	60	1	s1_r2	s1
ENST00000167218.9	87	1	s1_r2	s1
ENST00000168216.11	27	15	s1_r2	s1
ENST00000169298.8	24	2	s1_r2	s1
ENST00000169551.11	130	7	s1_r2	s1
ENST00000170168.9	141	5	s1_r2	s1
ENST00000170447.12	59	11	s1_r2	s1
ENST00000170564.7	33	1	s1_r2	s1
ENST00000171111.10	45	2	s1_r2	s1
ENST00000171887.8	33	2	s1_r2	s1
ENST00000172229.8	121	1	s1_r2	s1
ENST00000173527.6	34	2	s1_r2	s1
